,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
1,172319201,19,6.856,10.0,0.66,73,43,30,13,17,8.29,0.0,0.731,0.05
2,172518701,17,9.029,10.0,0.661,55,33,22,11,11,15.852,0.0,2.689,0.12
3,172551901,13,9.466,10.0,2.989,39,25,14,11,10,6.276,0.0,1.351,0.15
4,172861601,15,7.002,10.0,0.651,63,37,26,11,16,8.194,0.0,2.673,0.07
6,173656901,17,9.067,10.0,0.641,51,33,18,15,11,0.731,0.0,1.205,0.12
7,173673801,1,1.113,2.0,0.685,46,23,23,0,16,1.042,0.0,0.044,0.0
8,173711201,20,9.72,10.0,1.509,59,39,20,19,14,10.27,0.0,2.311,0.05
9,173721301,14,6.094,10.0,0.701,61,33,28,5,12,10.934,0.0,2.634,0.07
10,174074801,11,5.857,10.0,0.747,50,28,22,6,12,8.213,0.0,0.485,0.0
11,174292701,16,7.581,10.0,0.737,56,34,22,12,12,7.841,0.0,1.016,0.19
12,174296701,1,0.775,1.0,0.66,50,25,25,0,17,0.271,0.0,0.02,0.0
13,174402801,15,9.176,10.0,1.905,49,30,19,11,12,13.662,0.0,2.759,0.2
14,174539401,1,1.075,2.0,0.685,42,21,21,0,15,1.147,0.0,0.045,0.0
15,174718301,18,9.304,10.0,1.529,54,35,19,16,13,5.284,0.0,0.994,0.06
16,174901201,14,7.926,10.0,0.747,47,29,18,11,11,11.113,0.0,3.678,0.0
17,174940001,16,9.491,10.0,1.52,50,32,18,14,11,13.605,0.0,1.203,0.0
19,175004401,9,3.958,10.0,0.641,54,29,25,4,15,5.326,0.0,0.51,0.0
20,175101101,1,1.564,5.0,0.78,30,15,15,0,12,3.12,0.0,0.139,0.0
21,175296801,14,6.498,10.0,0.64,64,38,26,12,17,4.145,0.0,3.726,0.07
22,175349601,18,8.434,10.0,0.64,61,38,23,15,15,8.737,0.0,1.093,0.11
23,175518001,17,8.533,10.0,0.819,55,34,21,13,13,11.594,0.0,1.099,0.12
24,176142101,11,6.591,10.0,1.117,43,24,19,5,11,10.901,0.0,1.199,0.0
25,176144101,1,0.994,2.0,0.756,34,17,17,0,13,0.847,0.0,0.063,0.0
26,176247101,16,9.399,10.0,2.061,48,31,17,14,12,12.269,0.0,1.124,0.0
27,176600001,17,7.429,10.0,0.661,65,39,26,13,16,8.115,0.0,2.5,0.0
28,176712901,16,7.613,10.0,0.819,61,37,24,13,15,7.048,0.0,1.083,0.12
29,176766701,1,0.726,1.0,0.641,46,23,23,0,17,0.183,0.09,0.0,0.0
