,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,348,4.461,6.0,0.841,1323,801,522,279,337,5.573,0.05,0.014,0.98
2,178483501,51,3.916,5.0,0.783,176,112,64,48,44,4.535,0.0,0.0,1.0
3,178885001,244,2.734,6.0,0.932,1857,1029,828,201,590,2.583,0.02,0.017,0.98
4,181758601,217,4.532,6.0,0.815,770,480,290,190,199,5.883,0.01,0.006,0.98
5,182232701,346,3.496,6.0,0.973,2007,1131,876,255,591,3.926,0.02,0.007,0.98
7,183533601,275,4.756,6.0,0.982,948,598,350,248,242,5.504,0.03,0.004,0.99
8,184507401,259,4.583,6.0,0.761,952,587,365,222,247,5.6,0.07,0.011,0.99
9,185892901,327,4.367,6.0,1.418,1368,812,556,256,364,3.267,0.03,0.004,0.99
10,186028501,19,1.646,6.0,1.079,1610,814,796,18,592,0.322,0.0,0.0,1.0
11,186821501,110,3.339,6.0,0.699,836,471,365,106,267,2.298,0.0,0.0,1.0
12,187319101,42,4.137,6.0,0.849,152,94,58,36,38,6.289,0.06,0.0,1.0
13,187426001,217,5.584,7.0,2.02,719,447,272,175,170,4.991,0.0,0.003,0.99
14,187758401,332,3.28,6.0,0.761,2022,1136,886,250,594,3.887,0.02,0.004,0.95
15,187781201,20,1.675,6.0,1.066,1239,628,611,17,462,1.073,0.0,0.0,1.0
16,189660101,279,4.433,6.0,0.78,987,617,370,247,256,5.604,0.01,0.005,0.99
17,189877301,205,4.476,6.0,0.675,724,454,270,184,190,5.583,0.02,0.003,1.0
18,192487201,355,4.628,6.0,0.769,1255,784,471,313,326,5.368,0.06,0.0,1.0
19,195978501,273,4.378,6.0,0.861,1004,617,387,230,254,5.367,0.03,0.005,0.99
20,196727701,247,3.801,6.0,0.729,1139,680,459,221,323,3.211,0.01,0.016,0.99
21,199485101,133,4.468,6.0,0.761,450,285,165,120,110,5.936,0.06,0.0,1.0
22,199836701,70,2.516,6.0,0.714,680,368,312,56,226,2.744,0.0,0.008,0.96
23,200512301,293,3.377,6.0,0.769,1737,997,740,257,531,2.899,0.0,0.003,0.99
24,202213001,233,2.877,6.0,0.746,1557,882,675,207,486,2.113,0.01,0.0,1.0
25,202911501,134,2.894,6.0,0.735,781,450,331,119,236,2.648,0.01,0.003,0.99
26,204654801,391,3.717,6.0,0.867,2062,1181,881,300,592,3.154,0.02,0.003,0.99
27,205014901,367,4.622,6.0,1.221,1418,868,550,318,372,4.872,0.02,0.002,1.0
28,206569901,208,4.326,6.0,0.824,735,462,273,189,193,5.197,0.05,0.0,1.0
29,207082401,346,3.717,6.0,0.934,1782,1040,742,298,527,3.23,0.01,0.011,0.99
30,208812001,157,4.35,5.0,0.722,521,333,188,145,133,5.655,0.06,0.007,0.98
31,210350901,122,4.238,5.0,0.851,416,265,151,114,107,5.235,0.03,0.0,1.0
32,210919601,57,3.573,7.0,2.321,674,358,316,42,225,1.412,0.01,0.0,1.0
