,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_mse,opt_rate,discovery_mse,discovery_rate
0,177830201,6,0.041757746478873245,0.0992,0.03,352,176,176,0,284.0,0.0009056714705882353,0.13,0.00089,0.17
1,178468901,1,0.04027224080267559,0.05,0.03,610,305,305,0,593.0,0.00016436563758389264,0.13,1e-05,0.0
2,178885001,2,0.03986753246753247,0.0768,0.03,638,319,319,0,594.0,0.0001528862745098039,0.12,9e-05,0.0
3,181758601,9,0.04618933333333333,0.09759999999999999,0.03,252,126,126,0,148.0,0.0010712295454545454,0.05,0.00099,0.11
4,183097601,1,0.04021786941580756,0.05,0.03,588,294,294,0,593.0,9.349131034482758e-05,0.34,0.00017,0.0
5,186821501,18,0.04548340909090909,0.09759999999999999,0.00395,3010,1509,1501,8,223.9992,0.0007982625260416668,0.34,0.00126,0.0
6,187758401,2,0.04073529411764706,0.096,0.03,636,318,318,0,594.0,0.0012532311266447368,0.06,0.00178,0.0
7,189660101,2,0.04014366197183099,0.068,0.03,160,80,80,0,140.0,0.0013602435144927539,0.12,7e-05,0.0
8,189877301,3,0.04035303030303031,0.09359999999999999,0.0039000000000000003,121,61,60,1,108.0,0.0005854048369565216,0.3,0.00448,0.33
9,192487201,3,0.03652672413793103,0.084,0.00375,266,133,133,0,231.0,0.000340205685840708,0.19,0.00065,0.0
10,195978501,3,0.03997373737373738,0.09200000000000001,0.03,228,114,114,0,196.0,0.00014761666666666666,0.14,0.00122,0.33
11,196727701,5,0.0398421768707483,0.0992,0.00375,340,170,170,0,271.0,0.0002873047887323944,0.38,0.0009,0.0
12,199485101,1,0.03086643835616439,0.05,0.0039000000000000003,85,43,42,1,63.0,0.0007132527857142858,0.31,2e-05,0.0
13,199836701,3,0.03618536585365854,0.09519999999999999,0.0038,233,117,116,1,196.0,0.0012177545454545454,0.24,0.00283,0.33
14,200512301,5,0.04098013856812933,0.1,0.03,523,262,261,1,434.0,0.0010758073222748815,0.13,0.0009,0.0
15,202911501,1,0.03938888888888889,0.05,0.03,120,60,60,0,110.0,0.0015227563679245284,0.13,0.00015,0.0
16,205014901,5,0.04756635514018692,0.09519999999999999,0.03,167,84,83,1,97.0,0.0006066533333333331,0.44,0.0013,0.0
17,207082401,7,0.042422828784119106,0.0984,0.03,501,251,250,1,427.0,0.0008748606314432988,0.2,0.00195,0.0
18,218303001,3,0.04064105960264901,0.09040000000000001,0.03,640,320,320,0,594.0,0.00021241364548494978,0.1,0.00047,0.0
19,218688101,5,0.041011704834605596,0.09519999999999999,0.03,453,227,226,1,393.0,0.0006064826963350786,0.1,0.00051,0.0
20,219900501,6,0.04167774936061381,0.0984,0.03,453,227,226,1,388.0,0.00018896592592592592,0.17,0.00228,0.0
21,222993101,5,0.041139649122807015,0.0992,0.03,636,318,318,0,594.0,0.00020814228571428567,0.28,0.00121,0.0
22,223048501,1,0.039865853658536586,0.05,0.004050000000000001,135,68,67,1,121.0,0.0001836533333333333,0.17,1e-05,0.0
23,224397101,4,0.041018493150684926,0.09759999999999999,0.03,622,311,311,0,594.0,0.00021287944444444448,0.32,0.00077,0.25
24,226600001,2,0.03939827089337176,0.05,0.03,369,185,184,1,348.0,0.0001553366081871345,0.14,0.00014,0.0
25,231526101,2,0.0402445945945946,0.09200000000000001,0.03,612,306,306,0,594.0,0.00022992816326530613,0.12,0.0,0.5
26,235994101,3,0.04229291338582678,0.09759999999999999,0.03,157,79,78,1,137.0,0.0008796747916666666,0.18,0.0014,0.33
27,240029901,3,0.04063529411764706,0.0984,0.03,638,319,319,0,593.0,0.0008041638461538462,0.14,0.00203,0.33
