,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,127,68.0,95.0,28.0,582,292,290,2,332,70.0,0.05,38.0,0.01
1,178468901,40,38.0,77.0,31.0,676,338,338,0,593,14.0,0.43,18.0,0.03
2,178483501,20,77.0,106.0,56.0,76,39,37,2,39,146.0,0.0,72.0,0.0
3,178885001,31,38.0,88.0,29.0,676,338,338,0,594,17.0,0.37,29.0,0.0
4,181758601,62,56.0,85.0,31.0,315,158,157,1,194,54.0,0.13,33.0,0.0
5,182232701,293,77.0,93.0,34.0,1176,588,588,0,593,85.0,0.0,43.0,0.0
6,183097601,291,76.0,89.0,55.0,1162,581,581,0,593,84.0,0.0,42.0,0.0
7,183533601,122,72.0,88.0,42.0,484,243,241,2,237,75.0,0.0,36.0,0.0
8,184507401,91,57.0,101.0,32.0,422,212,210,2,243,58.0,0.04,33.0,0.0
9,185892901,160,60.0,93.0,34.0,666,333,333,0,357,48.0,0.03,24.0,0.01
10,186028501,296,55.0,86.0,38.0,1204,602,602,0,594,40.0,0.03,20.0,0.01
11,186821501,80,66.0,91.0,4.0,426,213,213,0,261,64.0,0.27,41.0,0.03
12,187319101,13,71.0,98.0,32.0,55,28,27,1,34,84.0,0.0,42.0,0.08
13,187426001,83,68.0,91.0,41.0,330,165,165,0,163,48.0,0.01,23.0,0.01
14,187758401,125,43.0,79.0,32.0,860,430,430,0,594,40.0,0.08,28.0,0.02
15,187781201,229,73.0,97.0,41.0,912,457,455,2,457,87.0,0.0,43.0,0.0
16,189660101,39,51.0,96.0,28.0,334,167,167,0,250,57.0,0.45,49.0,0.0
17,189877301,53,64.0,84.0,29.0,278,139,139,0,184,72.0,0.3,47.0,0.02
18,192487201,93,47.0,81.0,29.0,508,255,253,2,321,36.0,0.14,20.0,0.01
19,195978501,122,68.0,96.0,38.0,494,248,246,2,249,74.0,0.0,38.0,0.0
20,196727701,165,59.0,81.0,37.0,662,331,331,0,317,58.0,0.01,29.0,0.0
21,199485101,4,33.0,87.0,5.0,120,60,60,0,105,21.0,0.34,34.0,0.25
22,199836701,115,66.0,85.0,44.0,456,229,227,2,222,91.0,0.0,46.0,0.0
23,200512301,201,51.0,84.0,30.0,922,462,460,2,526,51.0,0.22,29.0,0.04
24,202213001,139,62.0,100.0,4.0,766,384,382,2,481,67.0,0.26,43.0,0.0
25,202911501,108,53.0,94.0,37.0,444,223,221,2,231,76.0,0.0,38.0,0.0
26,204654801,290,75.0,90.0,41.0,1158,579,579,0,593,83.0,0.0,41.0,0.0
27,205014901,185,78.0,91.0,44.0,738,369,369,0,366,84.0,0.0,41.0,0.0
28,206569901,12,41.0,87.0,28.0,199,100,99,1,188,29.0,0.87,41.0,0.08
29,207082401,251,73.0,96.0,41.0,1002,501,501,0,522,82.0,0.0,41.0,0.0
30,208812001,5,41.0,95.0,27.0,129,65,64,1,128,49.0,0.19,48.0,0.0
31,210350901,5,39.0,90.0,27.0,108,54,54,0,102,26.0,0.41,39.0,0.0
32,210919601,116,65.0,91.0,44.0,460,231,229,2,221,20.0,0.04,9.0,0.04
33,212667701,295,74.0,104.0,46.0,1178,589,589,0,594,95.0,0.0,47.0,0.0
34,212769701,64,67.0,96.0,35.0,252,127,125,2,136,80.0,0.0,38.0,0.0
35,214367601,60,74.0,91.0,41.0,236,119,117,2,114,109.0,0.0,54.0,0.0
36,217649401,119,56.0,91.0,4.0,830,415,415,0,593,58.0,0.27,45.0,0.0
37,217764201,201,59.0,96.0,32.0,920,460,460,0,503,56.0,0.06,31.0,0.0
38,218303001,53,40.0,82.0,29.0,708,354,354,0,594,19.0,0.3,22.0,0.04
39,218688101,240,80.0,99.0,63.0,958,479,479,0,476,97.0,0.0,48.0,0.0
40,219468301,201,52.0,84.0,34.0,938,469,469,0,537,47.0,0.06,27.0,0.07
41,219511701,53,35.0,91.0,4.0,626,313,313,0,524,29.0,0.39,21.0,0.02
42,219900501,211,67.0,86.0,55.0,840,421,419,2,421,69.0,0.0,35.0,0.0
43,220699801,117,82.0,92.0,59.0,464,233,231,2,232,117.0,0.0,58.0,0.0
44,220961301,13,67.0,103.0,42.0,48,25,23,2,19,77.0,0.0,35.0,0.0
45,222570001,139,83.0,93.0,56.0,554,277,277,0,288,99.0,0.0,50.0,0.0
46,222993101,276,74.0,90.0,33.0,1120,560,560,0,594,80.0,0.03,41.0,0.0
47,223048501,5,32.0,92.0,5.0,267,134,133,1,244,25.0,0.27,33.0,0.2
48,223120401,288,54.0,102.0,39.0,1160,580,580,0,593,44.0,0.01,22.0,0.0
49,223856401,173,77.0,90.0,38.0,690,346,344,2,345,89.0,0.0,44.0,0.0
50,224397101,171,71.0,84.0,44.0,682,341,341,0,346,76.0,0.0,38.0,0.0
51,226600001,222,80.0,99.0,61.0,886,443,443,0,446,96.0,0.0,47.0,0.0
52,231526101,296,81.0,95.0,44.0,1182,591,591,0,594,91.0,0.0,45.0,0.0
53,232198601,279,72.0,96.0,35.0,1124,562,562,0,559,114.0,0.0,57.0,0.0
54,234879501,289,54.0,95.0,38.0,1166,583,583,0,594,37.0,0.01,18.0,0.0
55,235994101,88,70.0,89.0,30.0,351,176,175,1,189,82.0,0.0,40.0,0.01
56,236937001,24,66.0,97.0,44.0,94,47,47,0,41,62.0,0.0,30.0,0.0
57,240029901,81,42.0,87.0,30.0,738,369,369,0,593,31.0,0.03,22.0,0.0
58,240989701,93,65.0,73.0,55.0,370,185,185,0,196,54.0,0.0,27.0,0.0
59,242921301,47,69.0,96.0,44.0,186,93,93,0,99,73.0,0.0,37.0,0.0
60,245740201,304,61.0,85.0,42.0,1214,607,607,0,593,59.0,0.0,30.0,0.0
61,247273001,110,57.0,81.0,31.0,508,255,253,2,300,43.0,0.09,25.0,0.0
62,248044901,314,76.0,97.0,41.0,1254,627,627,0,594,97.0,0.0,48.0,0.0
63,253529101,184,47.0,94.0,30.0,950,475,475,0,594,28.0,0.2,17.0,0.0
64,256334601,75,72.0,93.0,31.0,328,164,164,0,175,73.0,0.11,40.0,0.01
65,257051801,167,57.0,86.0,30.0,942,471,471,0,593,47.0,0.26,31.0,0.04
66,257872901,36,57.0,103.0,44.0,142,71,71,0,69,40.0,0.0,22.0,0.03
67,259827801,196,63.0,85.0,5.0,934,467,467,0,514,58.0,0.21,34.0,0.02
68,261217901,32,72.0,90.0,59.0,124,63,61,2,61,29.0,0.03,14.0,0.03
69,262938201,7,47.0,98.0,28.0,64,32,32,0,49,53.0,0.56,50.0,0.14
70,263181301,59,59.0,90.0,39.0,238,120,118,2,110,56.0,0.0,28.0,0.0
71,266876301,160,74.0,95.0,55.0,636,319,317,2,334,82.0,0.0,41.0,0.0
72,267044101,306,65.0,85.0,44.0,1222,611,611,0,594,62.0,0.0,31.0,0.0
73,267411001,104,53.0,97.0,36.0,458,230,228,2,240,62.0,0.0,34.0,0.01
74,268164901,160,70.0,102.0,30.0,686,344,342,2,362,87.0,0.03,46.0,0.0
75,268192501,297,69.0,85.0,41.0,1186,593,593,0,592,75.0,0.0,37.0,0.0
76,269306201,193,81.0,97.0,33.0,794,398,396,2,416,102.0,0.02,52.0,0.01
77,270552801,235,69.0,93.0,40.0,938,469,469,0,478,97.0,0.0,48.0,0.0
78,270862901,64,54.0,80.0,32.0,308,155,153,2,186,42.0,0.12,25.0,0.03
79,271207601,46,82.0,92.0,72.0,180,91,89,2,82,114.0,0.0,57.0,0.0
80,271501201,221,65.0,97.0,42.0,880,441,439,2,444,36.0,0.01,17.0,0.0
81,271671501,193,83.0,96.0,59.0,770,385,385,0,398,96.0,0.0,47.0,0.0
82,273687001,1,48.0,48.0,48.0,1,1,0,1,0,,0.0,,0.0
83,274252701,296,78.0,92.0,36.0,1182,591,591,0,592,97.0,0.0,48.0,0.0
84,275473701,17,53.0,85.0,33.0,117,59,58,1,83,43.0,0.41,34.0,0.06
85,282893001,298,79.0,100.0,44.0,1190,595,595,0,593,88.0,0.0,44.0,0.0
86,283237601,62,59.0,96.0,30.0,290,146,144,2,154,45.0,0.0,26.0,0.0
87,284492401,300,83.0,108.0,37.0,1216,608,608,0,594,122.0,0.0,62.0,0.0
88,285373201,150,65.0,92.0,5.0,654,327,327,0,347,74.0,0.14,40.0,0.0
89,285391201,4,36.0,51.0,30.0,74,37,37,0,66,7.0,0.55,9.0,0.0
90,287074901,36,33.0,80.0,4.0,656,328,328,0,588,20.0,0.62,27.0,0.06
91,287392801,284,72.0,104.0,36.0,1160,580,580,0,592,85.0,0.0,43.0,0.0
92,287882201,85,49.0,87.0,4.0,682,341,341,0,518,37.0,0.23,31.0,0.01
93,288582301,312,82.0,92.0,56.0,1246,623,623,0,593,92.0,0.0,46.0,0.0
94,291918801,36,35.0,102.0,4.0,512,257,255,2,451,22.0,0.58,27.0,0.06
95,294077501,185,66.0,94.0,43.0,736,369,367,2,386,58.0,0.0,29.0,0.0
96,294851801,296,57.0,80.0,43.0,1182,591,591,0,593,53.0,0.0,26.0,0.0
97,295786301,168,75.0,91.0,42.0,670,335,335,0,330,79.0,0.0,39.0,0.0
98,295832401,54,61.0,103.0,4.0,328,164,164,0,215,70.0,0.36,51.0,0.04
99,296967301,291,77.0,92.0,35.0,1176,588,588,0,594,109.0,0.0,55.0,0.0
100,297260101,107,67.0,93.0,54.0,426,213,213,0,203,93.0,0.0,47.0,0.0
101,298719001,60,58.0,79.0,33.0,280,141,139,2,170,70.0,0.04,39.0,0.0
102,303018401,213,54.0,95.0,31.0,1008,504,504,0,584,76.0,0.14,44.0,0.0
103,303502201,219,74.0,93.0,31.0,1016,508,508,0,576,75.0,0.11,43.0,0.0
104,305705001,202,72.0,97.0,30.0,986,493,493,0,593,81.0,0.22,49.0,0.0
105,311266501,293,79.0,106.0,36.0,1188,594,594,0,594,104.0,0.0,53.0,0.0
106,312987901,294,54.0,79.0,39.0,1180,590,590,0,593,48.0,0.0,24.0,0.0
107,313099201,232,72.0,98.0,39.0,938,469,469,0,463,84.0,0.0,42.0,0.0
108,313599001,168,66.0,96.0,56.0,668,335,333,2,315,107.0,0.0,54.0,0.0
109,314610001,106,69.0,93.0,28.0,528,264,264,0,289,74.0,0.13,46.0,0.0
110,316062301,16,28.0,82.0,4.0,472,236,236,0,458,15.0,0.5,9.0,0.0
111,317049401,83,76.0,90.0,38.0,332,167,165,2,165,80.0,0.0,40.0,0.0
112,319360201,45,54.0,97.0,39.0,176,89,87,2,92,46.0,0.0,23.0,0.0
113,321259701,103,69.0,96.0,58.0,408,205,203,2,208,22.0,0.08,10.0,0.08
114,323653801,301,79.0,92.0,38.0,1204,602,602,0,594,101.0,0.0,51.0,0.0
115,323793801,130,54.0,103.0,40.0,518,259,259,0,265,46.0,0.0,22.0,0.0
116,324962901,35,44.0,99.0,29.0,472,237,235,2,423,29.0,0.63,35.0,0.03
117,325995301,312,70.0,81.0,45.0,1246,623,623,0,592,73.0,0.0,36.0,0.0
118,328599801,301,81.0,102.0,41.0,1202,601,601,0,594,114.0,0.0,57.0,0.0
119,328792801,155,45.0,107.0,28.0,906,453,453,0,594,40.0,0.25,28.0,0.01
120,331554501,134,88.0,99.0,77.0,532,267,265,2,258,137.0,0.0,68.0,0.0
121,332552101,189,65.0,80.0,40.0,752,377,375,2,372,55.0,0.0,27.0,0.0
122,333665401,298,87.0,105.0,70.0,1190,595,595,0,594,96.0,0.0,47.0,0.0
123,334480801,183,62.0,83.0,36.0,772,386,386,0,378,59.0,0.08,31.0,0.03
124,340860901,92,50.0,98.0,6.0,646,324,322,2,454,36.0,0.16,27.0,0.0
125,340955901,130,61.0,99.0,29.0,609,305,304,1,344,58.0,0.25,33.0,0.0
126,341378901,157,69.0,97.0,56.0,626,313,313,0,312,98.0,0.0,49.0,0.0
127,342463701,217,72.0,94.0,39.0,864,433,431,2,454,86.0,0.0,43.0,0.0
128,342552501,34,43.0,88.0,6.0,288,144,144,0,217,40.0,0.17,26.0,0.0
129,344386601,55,45.0,92.0,28.0,380,190,190,0,261,52.0,0.09,38.0,0.0
130,345126301,6,38.0,99.0,5.0,125,63,62,1,117,54.0,0.32,69.0,0.0
131,345397901,84,51.0,94.0,5.0,494,247,247,0,334,47.0,0.44,33.0,0.0
132,346006301,8,36.0,78.0,30.0,423,212,211,1,397,12.0,0.96,27.0,0.12
133,347058701,129,50.0,94.0,30.0,858,429,429,0,592,44.0,0.5,34.0,0.01
134,348560401,273,52.0,96.0,34.0,1170,585,585,0,593,42.0,0.01,22.0,0.01
135,348606901,243,50.0,81.0,35.0,1080,540,540,0,592,47.0,0.0,23.0,0.0
136,351329101,8,36.0,75.0,30.0,594,297,297,0,593,9.0,0.72,25.0,0.25
137,353021501,65,54.0,82.0,33.0,298,149,149,0,156,57.0,0.04,32.0,0.02
138,353049401,293,75.0,91.0,59.0,1170,585,585,0,593,140.0,0.0,70.0,0.0
139,356373201,183,51.0,95.0,29.0,880,441,439,2,521,34.0,0.18,20.0,0.01
140,358732701,288,58.0,79.0,34.0,1198,599,599,0,594,50.0,0.01,26.0,0.0
141,360465001,223,62.0,95.0,31.0,1044,522,522,0,594,71.0,0.09,41.0,0.0
142,364627301,318,73.0,83.0,38.0,1270,635,635,0,593,77.0,0.0,38.0,0.0
143,365969701,188,62.0,86.0,28.0,996,498,498,0,594,71.0,0.25,45.0,0.01
144,368897601,54,50.0,78.0,31.0,302,151,151,0,183,35.0,0.01,23.0,0.0
145,370070501,172,66.0,89.0,31.0,918,460,458,2,567,61.0,0.05,38.0,0.0
146,373885001,65,61.0,86.0,28.0,360,181,179,2,235,58.0,0.45,38.0,0.02
147,376055601,31,80.0,95.0,57.0,122,61,61,0,65,91.0,0.0,46.0,0.0
148,378981801,55,55.0,99.0,35.0,232,117,115,2,121,49.0,0.07,26.0,0.02
149,380010101,8,70.0,102.0,43.0,30,15,15,0,15,80.0,0.0,36.0,0.0
150,380172301,290,59.0,86.0,37.0,1174,587,587,0,593,66.0,0.01,33.0,0.0
151,385043601,3,32.0,41.0,5.0,551,276,275,1,560,30.0,0.36,2.0,0.33
152,386517601,184,63.0,94.0,32.0,888,444,444,0,523,75.0,0.18,45.0,0.01
153,389837201,295,59.0,83.0,40.0,1178,589,589,0,594,58.0,0.0,29.0,0.0
154,389872601,222,60.0,87.0,32.0,1006,503,503,0,593,57.0,0.05,32.0,0.03
155,395191801,234,72.0,85.0,36.0,940,470,470,0,486,75.0,0.0,37.0,0.0
156,395575601,219,79.0,93.0,38.0,872,437,435,2,413,82.0,0.0,41.0,0.0
157,398396501,293,78.0,101.0,60.0,1170,585,585,0,594,91.0,0.0,45.0,0.0
158,398401201,13,37.0,87.0,32.0,634,317,317,0,594,14.0,0.21,29.0,0.08
159,398553001,162,56.0,96.0,31.0,932,466,466,0,594,46.0,0.29,30.0,0.0
160,398813901,282,84.0,102.0,33.0,1148,574,574,0,594,106.0,0.01,54.0,0.0
161,400578401,147,59.0,87.0,38.0,592,296,296,0,303,65.0,0.0,33.0,0.0
162,401584801,273,55.0,81.0,34.0,1146,573,573,0,592,59.0,0.0,31.0,0.0
163,401846601,122,61.0,88.0,31.0,546,273,273,0,306,63.0,0.01,35.0,0.0
164,402248101,226,63.0,104.0,29.0,1050,525,525,0,592,72.0,0.23,41.0,0.0
165,406559201,14,35.0,97.0,28.0,632,316,316,0,593,16.0,0.75,36.0,0.07
166,406566101,263,65.0,90.0,32.0,1124,562,562,0,594,67.0,0.02,35.0,0.0
167,406603701,301,79.0,92.0,40.0,1202,601,601,0,594,91.0,0.0,46.0,0.0
168,408721401,163,71.0,93.0,4.0,683,342,341,1,370,84.0,0.09,44.0,0.0
169,408855301,222,72.0,96.0,37.0,890,445,445,0,434,82.0,0.0,41.0,0.0
170,409305601,144,77.0,100.0,33.0,616,308,308,0,328,103.0,0.01,55.0,0.0
171,409319701,294,82.0,103.0,33.0,1198,599,599,0,594,104.0,0.0,53.0,0.0
172,409470301,85,44.0,80.0,5.0,772,386,386,0,594,31.0,0.64,29.0,0.01
173,410577001,294,80.0,93.0,34.0,1194,597,597,0,594,90.0,0.02,45.0,0.0
174,410979301,187,68.0,89.0,4.0,904,452,452,0,526,66.0,0.15,39.0,0.0
175,411238201,98,57.0,91.0,29.0,728,364,364,0,532,49.0,0.51,40.0,0.01
176,412116801,70,78.0,92.0,40.0,276,139,137,2,147,112.0,0.0,56.0,0.0
177,412341901,152,90.0,104.0,75.0,606,303,303,0,294,115.0,0.0,57.0,0.0
178,414749401,304,84.0,103.0,42.0,1214,607,607,0,592,80.0,0.03,39.0,0.03
179,416619601,111,72.0,104.0,39.0,442,221,221,0,215,81.0,0.0,40.0,0.0
180,416927301,59,53.0,103.0,34.0,248,125,123,2,117,41.0,0.18,23.0,0.09
181,417545801,1,33.0,39.0,28.0,606,303,303,0,593,2.0,0.73,0.0,1.0
182,417865101,41,82.0,94.0,57.0,160,81,79,2,78,93.0,0.0,46.0,0.0
183,418308401,185,53.0,101.0,31.0,934,468,466,2,555,49.0,0.18,29.0,0.01
184,418401701,218,44.0,80.0,32.0,1016,508,508,0,593,50.0,0.0,27.0,0.0
185,419089101,101,53.0,80.0,28.0,509,255,254,1,314,45.0,0.02,24.0,0.01
186,421152101,169,72.0,88.0,34.0,682,341,341,0,352,80.0,0.02,41.0,0.01
187,423938701,224,67.0,93.0,55.0,894,447,447,0,418,68.0,0.0,34.0,0.0
188,424387101,82,72.0,83.0,45.0,324,163,161,2,161,85.0,0.0,42.0,0.0
189,428923101,51,71.0,84.0,34.0,216,109,107,2,117,95.0,0.0,52.0,0.0
190,430884601,12,36.0,81.0,29.0,634,317,317,0,592,13.0,0.7,30.0,0.17
191,431288001,294,64.0,79.0,43.0,1174,587,587,0,593,51.0,0.0,25.0,0.0
192,431390701,81,66.0,86.0,40.0,320,161,159,2,162,77.0,0.0,38.0,0.0
193,431815001,283,81.0,105.0,33.0,1146,573,573,0,593,96.0,0.01,48.0,0.0
194,432477601,223,49.0,97.0,34.0,1048,524,524,0,593,34.0,0.01,19.0,0.0
195,433299001,64,77.0,101.0,37.0,254,128,126,2,125,84.0,0.02,43.0,0.0
196,433300701,1,33.0,36.0,30.0,602,301,301,0,592,2.0,0.69,0.0,1.0
197,435199201,127,68.0,94.0,5.0,640,320,320,0,390,79.0,0.15,48.0,0.0
198,435713701,297,82.0,98.0,35.0,1194,597,597,0,593,92.0,0.01,46.0,0.0
199,436351801,160,64.0,93.0,4.0,908,454,454,0,593,69.0,0.39,47.0,0.01
200,436895901,300,73.0,91.0,39.0,1200,600,600,0,594,96.0,0.0,48.0,0.0
201,437307501,2,41.0,86.0,32.0,55,28,27,1,46,69.0,0.0,60.0,0.0
202,437657601,116,71.0,84.0,42.0,462,231,231,0,235,80.0,0.0,40.0,0.0
203,440385601,110,43.0,88.0,30.0,822,411,411,0,594,44.0,0.05,32.0,0.01
204,440433201,295,70.0,92.0,55.0,1178,589,589,0,593,56.0,0.0,27.0,0.0
205,440756201,54,40.0,82.0,28.0,704,352,352,0,594,22.0,0.45,25.0,0.02
206,442098401,166,58.0,80.0,29.0,928,464,464,0,594,49.0,0.36,33.0,0.01
207,446692801,17,80.0,103.0,43.0,66,33,33,0,31,96.0,0.0,47.0,0.0
208,447728401,293,57.0,82.0,41.0,1170,585,585,0,593,75.0,0.0,37.0,0.0
209,448184801,298,72.0,82.0,44.0,1190,595,595,0,594,96.0,0.0,47.0,0.0
