,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,328,4.313,6.0,0.844,1307,781,526,255,337,5.225,0.03,0.056,0.99
2,178483501,49,3.633,5.0,0.783,177,110,67,43,44,5.339,0.06,0.003,0.98
3,178885001,4,1.258,6.0,0.887,1577,789,788,1,590,0.72,0.0,0.0,1.0
4,181758601,209,4.487,6.0,0.885,764,472,292,180,199,5.68,0.02,0.004,0.99
5,182232701,98,2.049,6.0,0.974,1701,883,818,65,591,2.16,0.01,0.003,0.94
7,183533601,260,4.627,6.0,0.965,953,583,370,213,242,5.72,0.05,0.005,0.98
8,184507401,268,4.684,6.0,0.792,969,596,373,223,247,5.783,0.04,0.003,0.99
9,185892901,357,4.658,6.0,1.373,1400,842,558,284,364,3.544,0.02,0.002,1.0
10,186028501,431,4.003,6.0,1.079,2128,1226,902,324,592,3.841,0.02,0.002,1.0
11,186821501,289,4.542,6.0,0.699,1071,650,421,229,267,5.576,0.05,0.009,0.98
12,187319101,45,4.229,6.0,0.849,155,97,58,39,38,6.201,0.08,0.0,1.0
13,187426001,219,5.648,7.0,2.02,725,449,276,173,170,4.782,0.04,0.0,1.0
14,187758401,141,2.1,6.0,0.831,1768,945,823,122,594,1.666,0.01,0.0,0.95
15,187781201,388,4.074,6.0,0.908,1685,996,689,307,462,4.85,0.04,0.005,1.0
16,189660101,275,4.5,6.0,0.78,984,613,371,242,256,5.74,0.05,0.005,0.98
17,189877301,208,4.679,6.0,0.675,728,457,271,186,190,5.907,0.05,0.006,0.99
18,192487201,1,1.127,2.0,0.757,860,430,430,0,326,0.012,0.0,0.0,1.0
19,195978501,287,4.695,6.0,0.924,1014,631,383,248,254,5.589,0.05,0.003,0.99
20,196727701,320,4.517,6.0,0.696,1242,753,489,264,323,5.216,0.05,0.004,0.99
21,199485101,130,4.569,6.0,0.915,444,282,162,120,110,5.234,0.03,0.0,1.0
22,199836701,246,4.536,6.0,0.714,870,544,326,218,226,5.664,0.03,0.0,0.96
23,200512301,307,3.534,6.0,0.717,1747,1011,736,275,531,2.622,0.01,0.002,1.0
24,202213001,3,1.218,5.0,0.843,1304,652,652,0,486,0.718,0.0,0.0,1.0
25,202911501,256,4.391,6.0,0.764,926,572,354,218,236,5.918,0.01,0.003,0.99
26,204654801,43,1.88,6.0,0.951,1625,833,792,41,592,0.644,0.01,0.0,1.0
27,205014901,238,3.733,6.0,1.221,1269,739,530,209,372,2.842,0.01,0.0,1.0
28,206569901,211,4.373,6.0,0.824,738,465,273,192,193,5.048,0.06,0.008,0.99
29,207082401,384,3.93,6.0,0.686,1833,1078,755,323,527,3.729,0.03,0.002,0.99
30,208812001,1,1.239,4.0,0.887,354,177,177,0,133,1.153,0.01,0.0,1.0
31,210350901,122,4.504,5.0,0.862,413,265,148,117,107,4.922,0.0,0.005,0.98
32,210919601,288,5.93,7.0,2.212,954,589,365,224,225,4.711,0.04,0.003,1.0
33,212667701,395,3.681,6.0,0.84,2025,1180,845,335,593,3.308,0.02,0.01,0.98
34,212769701,161,4.792,6.0,0.818,535,344,191,153,140,4.969,0.0,0.0,1.0
35,214367601,134,4.457,6.0,0.807,454,289,165,124,119,5.404,0.0,0.0,1.0
36,217649401,385,3.573,6.0,0.72,2024,1173,851,322,590,3.703,0.01,0.004,0.99
