,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,150,4.281,6.0,1.647,2408,1204,1204,0,337,5.931,0.0,4.405,0.0
2,178483501,1,0.942,1.0,0.817,138,69,69,0,44,0.168,0.0,0.016,0.0
3,178885001,92,3.199,5.0,1.516,1944,972,972,0,590,4.6,0.0,3.901,0.0
4,181758601,28,2.596,3.0,1.366,639,333,306,27,199,2.876,0.0,1.415,0.0
5,182232701,1,1.572,2.0,1.1,1584,792,792,0,591,0.748,0.0,0.127,0.0
7,183533601,1,3.13,4.0,1.362,661,331,330,1,242,4.045,0.0,0.0,0.0
8,184507401,1,1.382,2.0,0.776,672,336,336,0,247,0.212,0.0,0.0,1.0
9,185892901,1,1.654,2.0,1.443,980,490,490,0,364,0.125,0.0,0.058,0.0
10,186028501,1,1.499,2.0,1.157,1604,802,802,0,592,0.136,0.0,0.078,0.0
11,186821501,1,2.29,3.0,1.356,735,368,367,1,267,1.9,0.0,0.0,1.0
12,187319101,1,1.135,1.0,0.849,120,60,60,0,38,0.341,0.0,0.0,0.0
13,187426001,1,2.336,2.0,2.066,462,231,231,0,170,0.261,0.0,0.046,0.0
14,187758401,1,1.99,2.0,1.017,1624,812,812,0,594,1.906,0.0,0.0,0.0
15,187781201,1,1.217,2.0,0.734,1232,616,616,0,462,0.165,0.0,0.0,0.0
16,189660101,1,1.754,2.0,1.037,691,346,345,1,256,1.393,0.0,0.046,0.0
17,189877301,1,2.043,2.0,0.675,513,257,256,1,190,1.856,0.0,0.0,0.0
18,192487201,1,2.116,3.0,1.373,874,437,437,0,326,1.903,0.0,0.0,0.0
19,195978501,1,1.567,2.0,1.265,699,350,349,1,254,0.697,0.0,0.145,0.0
20,196727701,1,1.79,2.0,0.977,880,440,440,0,323,1.141,0.0,0.0,0.0
21,199485101,151,5.46,6.0,2.726,1808,904,904,0,110,8.847,0.0,4.416,0.0
22,199836701,1,2.19,3.0,0.815,612,306,306,0,226,2.774,0.0,0.101,0.0
23,200512301,1,1.335,2.0,0.726,1424,712,712,0,531,0.118,0.0,0.033,0.0
24,202213001,1,1.415,2.0,1.054,1310,655,655,0,486,0.731,0.0,0.253,0.0
25,202911501,1,1.072,2.0,0.915,648,324,324,0,236,0.273,0.0,0.0,0.0
26,204654801,1,2.381,5.0,1.077,1596,798,798,0,592,2.667,0.0,0.378,0.0
27,205014901,1,1.947,2.0,1.221,1018,509,509,0,372,1.364,0.14,0.0,0.0
29,207082401,1,1.401,2.0,0.914,1402,701,701,0,527,0.278,0.0,0.084,0.0
30,208812001,1,1.381,2.0,0.887,368,184,184,0,133,0.98,0.0,0.0,0.0
32,210919601,1,2.637,3.0,2.202,604,302,302,0,225,0.249,0.0,0.0,0.0
33,212667701,199,3.549,6.0,1.311,2374,1187,1187,0,593,4.551,0.0,3.915,0.0
34,212769701,1,1.361,2.0,0.956,378,189,189,0,140,0.266,0.0,0.101,0.0
35,214367601,1,1.096,1.0,0.869,326,163,163,0,119,0.181,0.0,0.0,0.0
37,217764201,1,1.325,2.0,0.822,1374,687,687,0,509,0.331,0.0,0.036,0.0
38,218303001,1,1.442,2.0,1.02,1614,807,807,0,594,0.593,0.0,0.0,0.0
39,218688101,1,1.215,2.0,0.892,1330,665,665,0,482,0.147,0.0,0.0,0.0
40,219468301,1,2.75,4.0,1.16,1468,734,734,0,544,2.905,0.0,0.169,0.0
41,219511701,1,0.993,2.0,0.716,1428,714,714,0,530,0.023,0.54,0.056,0.0
42,219900501,1,1.535,2.0,1.181,1144,572,572,0,426,0.87,0.0,0.036,0.0
43,220699801,1,1.031,1.0,0.93,654,327,327,0,236,0.142,0.0,0.0,0.0
44,220961301,1,2.275,2.0,1.492,84,42,42,0,24,1.783,0.0,0.169,0.0
45,222570001,1,2.086,2.0,1.171,782,391,391,0,293,1.83,0.01,0.0,0.0
46,222993101,197,3.56,5.0,1.412,2360,1180,1180,0,595,4.542,0.0,3.915,0.0
47,223048501,1,1.107,1.0,0.866,678,339,339,0,249,0.274,0.0,0.148,0.0
49,223856401,1,1.839,2.0,1.009,958,479,479,0,350,1.096,0.0,0.426,0.0
50,224397101,1,1.64,2.0,0.991,944,472,472,0,352,1.02,0.0,0.145,0.0
51,226600001,1,1.536,2.0,1.009,1214,607,607,0,451,0.855,0.0,0.0,0.0
52,231526101,1,1.705,2.0,1.158,1592,796,796,0,591,0.945,0.0,0.169,0.0
53,232198601,1,1.311,2.0,0.842,1530,765,765,0,565,0.976,0.0,0.426,0.0
55,235994101,1,1.074,1.0,0.802,521,261,260,1,194,0.01,0.97,0.036,0.0
56,236937001,1,1.843,2.0,1.554,140,70,70,0,47,0.701,0.0,0.0,0.0
57,240029901,1,1.013,1.0,0.928,1560,780,780,0,591,0.147,0.0,0.036,0.0
58,240989701,148,5.37,6.0,1.377,2008,1004,1004,0,203,7.336,0.0,4.404,0.01
59,242921301,1,1.287,1.0,0.896,284,142,142,0,104,0.139,0.0,0.113,0.0
60,245740201,299,1.997,2.0,1.23,4342,2320,2022,298,592,1.922,0.0,0.944,0.0
61,247273001,1,2.321,4.0,2.045,809,405,404,1,305,1.923,0.0,0.629,0.0
63,253529101,1,1.274,1.0,1.064,1610,805,805,0,596,0.079,0.0,0.0,0.0
64,256334601,1,1.517,2.0,1.298,506,253,253,0,181,0.224,0.01,0.0,0.0
65,257051801,1,1.973,3.0,1.389,1628,814,814,0,595,1.427,0.0,0.0,0.0
67,259827801,1,1.666,2.0,0.991,1414,707,707,0,519,0.798,0.0,0.184,0.0
68,261217901,1,2.887,3.0,2.461,176,88,88,0,66,0.351,0.0,0.101,0.0
69,262938201,1,3.504,4.0,1.044,160,80,80,0,55,4.799,0.0,0.253,0.0
71,266876301,1,1.321,2.0,1.053,922,461,461,0,338,0.396,0.0,0.0,0.0
72,267044101,1,1.619,2.0,1.017,1576,788,788,0,591,0.751,0.0,0.216,0.0
73,267411001,1,1.12,1.0,0.885,672,336,336,0,245,0.124,0.0,0.033,0.0
74,268164901,1,1.501,2.0,1.019,1002,501,501,0,366,0.901,0.0,0.127,0.0
75,268192501,1,1.174,1.0,0.694,1596,798,798,0,595,0.18,0.0,0.022,0.0
76,269306201,1,1.704,2.0,0.917,1118,559,559,0,421,0.956,0.0,0.0,0.0
77,270552801,1,1.427,2.0,0.853,1293,647,646,1,484,0.939,0.0,0.0,0.0
78,270862901,1,2.078,2.0,1.304,518,259,259,0,191,1.5,0.0,0.0,0.0
80,271501201,1,2.693,3.0,1.839,1216,608,608,0,449,0.926,0.0,0.063,0.0
81,271671501,1,1.809,2.0,1.049,1078,539,539,0,404,1.144,0.0,0.169,0.0
82,273687001,1,2.023,3.0,1.584,28,14,14,0,5,1.146,0.0,0.0,0.0
83,274252701,1,1.171,1.0,0.708,1612,806,806,0,595,0.08,0.0,0.0,0.0
84,275473701,1,4.224,4.0,1.682,246,123,123,0,88,5.846,0.0,0.671,0.0
85,282893001,200,3.597,5.0,1.849,2380,1190,1190,0,590,4.577,0.0,3.916,0.0
86,283237601,1,2.917,4.0,1.049,448,224,224,0,158,3.265,0.0,0.0,0.0
87,284492401,1,1.382,2.0,0.915,1618,809,809,0,592,0.594,0.0,0.0,0.0
88,285373201,1,1.278,2.0,0.816,956,478,478,0,353,0.318,0.0,0.053,0.0
89,285391201,1,2.037,2.0,0.994,206,103,103,0,71,1.801,0.0,0.0,0.0
