Spalte1,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_mse,opt_rate,discovery_mse,discovery_rate
0,177830201,62,0.056079947,0.077649273,0.031968019,1306,654,652,2,332.00,0.003191,0.03,0.001870,0
1,178468901,214,0.063306612,0.069052619,0.056497597,4020,2010,2010,0,593.00,0.003368,0,0.000820,0
2,178483501,20,0.068409011,0.075395518,0.062570929,342,172,170,2,39.00,0.016198,0,0.003910,0
3,178885001,304,0.069641249,0.082003272,0.059104536,5478,2739,2739,0,594.22,0.005438,0,0.001290,0
4,181758601,47,0.058114759,0.077323974,0.005368204,943,472,471,1,194.00,0.002708,0.09,0.001210,0.02
5,182232701,243,0.065620037,0.077753122,0.056019648,4476,2238,2238,0,593.19,0.003739,0,0.000950,0
6,183097601,1,0.041377238,0.045539218,0.037259361,596,298,298,0,593.00,0.000225,0,0.000070,0
7,183533601,122,0.077287856,0.091322957,0.067586182,2178,1090,1088,2,237.00,0.007167,0,0.001690,0
8,184507401,63,0.062408579,0.086677469,0.036607876,1234,618,616,2,243.00,0.004264,0.11,0.002030,0
9,185892901,174,0.069545041,0.078366596,0.061335453,3130,1565,1565,0,357.24,0.003835,0,0.000850,0
10,186028501,81,0.055323239,0.070939412,0.039452737,1908,954,954,0,594.24,0.001283,0,0.000660,0
11,186821501,85,0.066218048,0.08777585,0.040964943,1524,762,762,0,261.00,0.004411,0,0.001560,0
12,187319101,16,0.087884143,0.096750456,0.07926382,270,136,134,2,34.00,0.012453,0,0.003580,0
13,187426001,83,0.081959304,0.091185883,0.073431701,1492,746,746,0,163.26,0.005167,0,0.001160,0
14,187758401,285,0.065869658,0.07259528,0.058967135,5170,2585,2585,0,594.21,0.006365,0,0.001580,0
15,187781201,164,0.066534191,0.079385415,0.041191359,3064,1533,1531,2,457.00,0.004871,0,0.001400,0
16,189660101,1,0.035825083,0.047024555,0.028444697,272,136,136,0,250.00,0.000817,0.48,0.000280,0
17,189877301,82,0.066267803,0.073438841,0.059284904,1484,742,742,0,184.23,0.005223,0,0.001360,0
18,192487201,162,0.071791755,0.086268298,0.059580048,2900,1451,1449,2,321.00,0.007005,0,0.001700,0
19,195978501,127,0.077955434,0.100056088,0.061879831,2252,1127,1125,2,249.00,0.007730,0,0.001970,0
20,196727701,132,0.066915844,0.086351675,0.054023131,2444,1222,1222,0,317.24,0.004734,0,0.001250,0
21,199485101,1,0.044299643,0.053229419,0.037619663,128,64,64,0,105.00,0.001749,0,0.000180,0
22,199836701,84,0.063745937,0.079372041,0.054488141,1556,779,777,2,222.00,0.007107,0,0.001730,0
23,200512301,125,0.057338896,0.075091011,0.004427037,2506,1254,1252,2,526.00,0.002686,0.07,0.000910,0.01
24,202213001,131,0.065271009,0.101841973,0.028484817,2526,1264,1262,2,481.00,0.005113,0.03,0.001910,0.01
25,202911501,84,0.063480907,0.073220999,0.054724615,1558,780,778,2,231.00,0.007870,0,0.002050,0
26,204654801,230,0.071319647,0.085556211,0.005482135,4258,2129,2129,0,593.26,0.005177,0.01,0.001540,0
27,205014901,185,0.079630194,0.09207564,0.06847503,3328,1664,1664,0,366.25,0.007410,0,0.001800,0
28,206569901,83,0.065250717,0.07320047,0.058050117,1486,744,742,2,188.00,0.004282,0,0.001140,0
29,207082401,78,0.055945591,0.077130258,0.037674002,1748,874,874,0,522.00,0.002702,0.01,0.001820,0
30,208812001,52,0.065380846,0.0729597,0.056179149,902,452,450,2,128.00,0.008708,0,0.002160,0
31,210350901,1,0.031490683,0.03563488,0.027888304,100,50,50,0,102.00,,0.65,0.000000,1
