,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,6,1.94,5.0,0.937,915,459,456,3,337,1.636,0.0,0.564,0.0
2,178483501,1,1.279,2.0,0.837,124,62,62,0,44,1.091,0.0,0.018,0.0
3,178885001,3,1.567,3.0,0.979,1574,788,786,2,590,1.147,0.01,0.585,0.33
4,181758601,1,2.627,4.0,1.198,528,264,264,0,199,3.613,0.0,0.036,0.0
5,182232701,2,1.583,5.0,0.973,1574,787,787,0,591,1.096,0.0,0.372,0.0
7,183533601,1,1.869,3.0,1.108,647,324,323,1,242,1.635,0.01,0.0,0.0
8,184507401,11,1.604,6.0,0.856,672,339,333,6,247,1.124,0.0,0.808,0.09
9,185892901,6,2.246,5.0,1.376,977,491,486,5,364,1.408,0.0,1.886,0.17
10,186028501,23,1.792,6.0,1.127,1615,818,797,21,592,0.859,0.0,1.871,0.04
11,186821501,1,2.037,3.0,1.356,723,362,361,1,267,1.527,0.03,0.0,0.0
12,187319101,17,2.552,5.0,0.865,128,69,59,10,38,4.077,0.02,1.584,0.12
13,187426001,5,2.441,5.0,2.106,468,235,233,2,170,0.905,0.0,2.01,0.0
14,187758401,3,1.371,6.0,0.884,1614,807,807,0,594,0.955,0.0,1.169,0.0
15,187781201,24,1.516,6.0,0.872,1244,632,612,20,462,1.049,0.0,1.607,0.0
16,189660101,4,1.566,5.0,0.968,683,342,341,1,256,1.392,0.0,1.603,0.0
17,189877301,15,2.179,5.0,0.675,518,264,254,10,190,2.516,0.0,2.181,0.07
18,192487201,14,1.657,6.0,1.099,880,443,437,6,326,1.41,0.0,2.382,0.07
19,195978501,10,2.006,6.0,1.131,702,354,348,6,254,1.818,0.0,1.216,0.0
20,196727701,3,1.981,6.0,0.977,872,436,436,0,323,1.68,0.0,0.216,0.0
21,199485101,11,1.753,6.0,1.155,319,163,156,7,110,1.859,0.01,0.868,0.18
22,199836701,1,3.938,5.0,0.714,598,299,299,0,226,5.95,0.0,0.202,0.0
23,200512301,1,1.807,3.0,0.908,1410,705,705,0,531,1.322,0.0,0.0,0.0
24,202213001,1,1.359,5.0,0.951,1300,650,650,0,486,1.219,0.0,0.388,0.0
25,202911501,9,1.33,5.0,0.96,643,325,318,7,236,1.091,0.0,1.016,0.0
26,204654801,16,1.846,6.0,1.059,1600,806,794,12,592,1.134,0.0,2.129,0.0
27,205014901,1,2.056,2.0,1.221,1004,502,502,0,372,1.573,0.0,0.0,0.0
28,206569901,2,2.068,5.0,0.944,512,256,256,0,193,2.426,0.0,2.834,0.0
29,207082401,3,1.615,5.0,1.036,1392,697,695,2,527,0.957,0.0,0.73,0.0
30,208812001,5,1.566,5.0,0.933,361,181,180,1,133,1.876,0.0,1.938,0.0
31,210350901,13,1.874,5.0,0.871,304,156,148,8,107,2.239,0.01,1.371,0.15
32,210919601,1,3.446,4.0,2.386,604,302,302,0,225,1.974,0.0,0.0,0.0
33,212667701,16,1.516,6.0,0.808,1595,801,794,7,593,0.984,0.0,2.222,0.06
34,212769701,9,1.731,6.0,1.001,379,192,187,5,140,1.702,0.01,1.928,0.0
35,214367601,1,1.424,3.0,1.006,312,156,156,0,119,1.044,0.0,0.0,0.0
36,217649401,11,1.175,5.0,0.739,1590,799,791,8,590,0.499,0.0,1.55,0.0
37,217764201,12,1.624,6.0,0.948,1375,691,684,7,509,1.2,0.0,2.037,0.0
38,218303001,1,1.738,2.0,1.02,1600,800,800,0,594,1.509,0.02,0.253,0.0
39,218688101,1,1.654,2.0,0.921,1316,658,658,0,482,1.377,0.0,0.253,0.0
40,219468301,19,1.488,5.0,0.764,1474,745,729,16,544,0.682,0.0,1.551,0.0
41,219511701,3,1.352,5.0,0.951,1420,710,710,0,530,1.082,0.0,0.25,0.0
42,219900501,1,1.531,2.0,0.844,1130,565,565,0,426,1.304,0.02,0.253,0.0
43,220699801,1,1.727,2.0,1.067,640,320,320,0,236,1.743,0.0,0.0,0.0
44,220961301,10,2.661,6.0,1.356,83,45,38,7,24,3.365,0.25,1.878,0.1
45,222570001,4,1.737,6.0,1.178,774,387,387,0,293,1.427,0.0,0.496,0.0
46,222993101,1,2.237,2.0,1.412,1566,783,783,0,595,1.999,0.0,0.0,0.0
47,223048501,6,1.448,6.0,1.068,674,339,335,4,249,1.254,0.0,2.237,0.0
48,223120401,1,1.474,5.0,1.004,1574,787,787,0,591,0.969,0.0,0.145,0.0
49,223856401,6,2.085,6.0,1.177,960,480,480,0,350,1.801,0.0,0.864,0.0
50,224397101,1,1.476,2.0,0.905,930,465,465,0,352,0.795,0.0,0.056,0.0
51,226600001,1,1.899,2.0,1.009,1200,600,600,0,451,1.746,0.0,0.0,0.0
52,231526101,9,1.685,6.0,1.141,1592,799,793,6,591,1.109,0.0,1.055,0.11
53,232198601,1,1.124,5.0,0.831,1522,761,761,0,565,1.009,0.0,0.597,0.0
55,235994101,8,1.343,5.0,0.855,520,262,258,4,194,1.461,0.0,0.833,0.12
56,236937001,13,2.529,6.0,1.499,141,75,66,9,47,2.698,0.02,1.06,0.08
57,240029901,21,1.154,5.0,0.927,1570,794,776,18,591,0.683,0.0,1.285,0.05
58,240989701,9,2.106,6.0,1.377,538,272,266,6,203,1.443,0.0,0.891,0.0
59,242921301,16,1.731,5.0,0.784,291,152,139,13,104,1.522,0.01,1.432,0.0
60,245740201,12,1.6,5.0,0.983,1617,813,804,9,592,1.283,0.0,2.134,0.0
61,247273001,15,1.598,6.0,1.118,829,419,410,9,305,1.06,0.0,1.477,0.07
62,248044901,6,1.562,5.0,1.122,1596,799,797,2,591,1.307,0.0,0.78,0.0
63,253529101,21,1.479,6.0,1.066,1618,818,800,18,596,0.692,0.0,1.567,0.05
64,256334601,1,2.33,3.0,1.317,492,246,246,0,181,1.97,0.0,0.0,0.0
65,257051801,1,1.947,4.0,1.355,1614,807,807,0,595,1.836,0.0,0.0,0.0
66,257872901,10,3.125,7.0,2.061,213,110,103,7,75,2.21,0.03,1.133,0.0
67,259827801,11,1.523,6.0,1.032,1419,712,707,5,519,0.944,0.0,1.503,0.0
68,261217901,1,4.075,4.0,2.368,176,88,88,0,66,2.852,0.01,0.0,1.0
69,262938201,13,2.289,5.0,0.96,162,86,76,10,55,2.804,0.0,2.152,0.0
70,263181301,1,3.374,4.0,1.236,308,154,154,0,115,4.633,0.0,0.0,0.0
71,266876301,11,1.594,6.0,1.137,923,464,459,5,338,1.276,0.0,1.423,0.0
72,267044101,10,1.827,6.0,1.117,1578,792,786,6,591,1.319,0.0,1.715,0.0
73,267411001,8,1.905,6.0,1.312,671,337,334,3,245,1.934,0.0,2.307,0.0
74,268164901,5,1.427,5.0,0.905,996,499,497,2,366,1.402,0.0,1.685,0.0
75,268192501,2,1.485,5.0,0.736,1584,792,792,0,595,1.412,0.0,2.833,0.0
76,269306201,27,1.581,5.0,0.917,1134,578,556,22,421,0.969,0.0,1.436,0.0
77,270552801,7,1.444,5.0,0.885,1290,646,644,2,484,1.246,0.0,1.711,0.0
78,270862901,6,2.038,6.0,1.253,512,257,255,2,191,1.738,0.0,1.846,0.0
