Spalte1,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,127,68,95,28,582,292,290,2,332,70,0.05,38,0.01
1,178468901,40,38,77,31,676,338,338,0,593,14,0.43,18,0.03
2,178483501,20,77,106,56,76,39,37,2,39,146,0,72,0
3,178885001,31,38,88,29,676,338,338,0,594,17,0.37,29,0
4,181758601,62,56,85,31,315,158,157,1,194,54,0.13,33,0
5,182232701,293,77,93,34,1176,588,588,0,593,85,0,43,0
6,183097601,291,76,89,55,1162,581,581,0,593,84,0,42,0
7,183533601,122,72,88,42,484,243,241,2,237,75,0,36,0
8,184507401,91,57,101,32,422,212,210,2,243,58,0.04,33,0
9,185892901,160,60,93,34,666,333,333,0,357,48,0.03,24,0.01
10,186028501,296,55,86,38,1204,602,602,0,594,40,0.03,20,0.01
11,186821501,80,66,91,4,426,213,213,0,261,64,0.27,41,0.03
12,187319101,13,71,98,32,55,28,27,1,34,84,0,42,0.08
13,187426001,83,68,91,41,330,165,165,0,163,48,0.01,23,0.01
14,187758401,125,43,79,32,860,430,430,0,594,40,0.08,28,0.02
15,187781201,229,73,97,41,912,457,455,2,457,87,0,43,0
16,189660101,39,51,96,28,334,167,167,0,250,57,0.45,49,0
17,189877301,53,64,84,29,278,139,139,0,184,72,0.3,47,0.02
18,192487201,93,47,81,29,508,255,253,2,321,36,0.14,20,0.01
19,195978501,122,68,96,38,494,248,246,2,249,74,0,38,0
20,196727701,165,59,81,37,662,331,331,0,317,58,0.01,29,0
21,199485101,4,33,87,5,120,60,60,0,105,21,0.34,34,0.25
22,199836701,115,66,85,44,456,229,227,2,222,91,0,46,0
23,200512301,201,51,84,30,922,462,460,2,526,51,0.22,29,0.04
24,202213001,139,62,100,4,766,384,382,2,481,67,0.26,43,0
25,202911501,108,53,94,37,444,223,221,2,231,76,0,38,0
26,204654801,290,75,90,41,1158,579,579,0,593,83,0,41,0
27,205014901,185,78,91,44,738,369,369,0,366,84,0,41,0
