,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,313,4.817,6.0,1.073,1290,766,524,242,337,7.007,0.0,1.953,0.01
2,178483501,52,4.535,5.0,0.799,181,113,68,45,44,6.764,0.0,2.074,0.02
3,178885001,473,4.441,6.0,1.005,2199,1258,941,317,590,6.725,0.0,1.963,0.01
4,181758601,44,2.508,6.0,1.042,581,307,274,33,199,2.448,0.0,1.617,0.0
5,182232701,1,3.832,4.0,1.352,1572,786,786,0,591,5.473,0.0,0.378,0.0
7,183533601,259,4.843,6.0,1.126,949,582,367,215,242,6.533,0.0,1.95,0.0
8,184507401,1,2.224,3.0,1.703,658,329,329,0,247,2.006,0.0,0.253,0.0
9,185892901,183,3.647,6.0,1.451,1204,668,536,132,364,2.938,0.0,1.907,0.0
10,186028501,1,1.464,2.0,1.079,1592,796,796,0,592,0.117,0.0,0.0,0.0
11,186821501,1,3.986,5.0,1.735,723,362,361,1,267,5.586,0.0,0.378,0.0
12,187319101,1,1.883,2.0,1.102,106,53,53,0,38,1.982,0.0,0.253,0.0
13,187426001,226,5.943,7.0,2.046,738,456,282,174,170,6.762,0.04,2.142,0.01
14,187758401,5,1.352,6.0,0.929,1618,809,809,0,594,0.958,0.0,0.683,0.0
15,187781201,319,4.482,6.0,0.931,1628,927,701,226,462,6.319,0.0,1.983,0.01
16,189660101,200,4.694,6.0,1.028,922,538,384,154,256,7.253,0.0,2.095,0.0
17,189877301,192,4.79,6.0,0.675,738,441,297,144,190,7.018,0.01,2.172,0.01
18,192487201,172,3.634,6.0,0.952,1055,601,454,147,326,3.336,0.0,2.132,0.01
19,195978501,1,1.909,4.0,1.231,689,345,344,1,254,1.585,0.0,0.0,0.0
20,196727701,379,4.844,6.0,0.83,1322,812,510,302,323,6.646,0.0,2.126,0.0
21,199485101,125,4.617,6.0,0.766,454,277,177,100,110,6.799,0.0,2.22,0.0
22,199836701,118,4.572,6.0,0.714,747,416,331,85,226,7.244,0.0,1.891,0.01
23,200512301,226,3.344,6.0,1.119,1673,930,743,187,531,2.945,0.0,1.947,0.0
24,202213001,355,4.446,6.0,0.966,1763,1004,759,245,486,6.727,0.0,1.766,0.01
25,202911501,1,1.045,2.0,0.9,634,317,317,0,236,0.34,0.0,0.0,0.0
26,204654801,54,4.119,6.0,1.47,1648,844,804,40,592,5.601,0.0,1.901,0.02
27,205014901,1,2.168,2.0,1.221,1004,502,502,0,372,1.76,0.0,0.0,1.0
28,206569901,1,1.442,2.0,1.077,510,255,255,0,193,0.909,0.0,0.253,0.0
29,207082401,66,1.801,6.0,0.819,1463,760,703,57,527,1.117,0.26,2.18,0.0
30,208812001,1,3.242,4.0,0.887,354,177,177,0,133,5.211,0.0,0.0,0.0
31,210350901,117,4.644,5.0,0.873,429,260,169,91,107,7.178,0.02,2.317,0.02
32,210919601,290,6.078,7.0,2.12,989,591,398,193,225,6.808,0.0,2.116,0.0
33,212667701,57,3.634,6.0,1.315,1647,842,805,37,593,4.821,0.0,2.086,0.0
34,212769701,168,5.121,6.0,1.51,557,351,206,145,140,7.395,0.0,2.28,0.0
35,214367601,94,4.671,6.0,1.006,419,249,170,79,119,7.118,0.0,2.348,0.0
36,217649401,344,4.115,6.0,0.96,2026,1132,894,238,590,6.054,0.0,1.934,0.02
37,217764201,449,4.527,6.0,0.941,1941,1128,813,315,509,6.484,0.0,1.907,0.02
38,218303001,478,4.55,6.0,1.02,2235,1277,958,319,594,6.789,0.0,1.835,0.02
39,218688101,1,1.931,2.0,1.019,1316,658,658,0,482,1.759,0.0,0.0,0.0
40,219468301,1,2.288,4.0,0.991,1454,727,727,0,544,2.004,0.0,0.0,0.0
41,219511701,126,4.326,6.0,1.321,1604,833,771,62,530,7.045,0.0,1.726,0.0
42,219900501,437,4.571,6.0,0.925,1673,1001,672,329,426,6.684,0.0,1.866,0.01
43,220699801,1,1.385,2.0,1.056,640,320,320,0,236,1.181,0.0,0.0,0.0
