,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,3,1.465,5.0,1.073,910,456,454,2,337,0.639,0.0,0.892,0.0
2,178483501,3,1.659,5.0,0.801,128,64,64,0,44,2.396,0.02,1.854,0.0
3,178885001,3,1.498,5.0,0.929,1576,788,788,0,590,1.36,0.01,0.412,0.33
4,181758601,1,3.522,4.0,1.198,528,264,264,0,199,4.932,0.0,0.0,0.0
5,182232701,446,4.155,6.0,1.157,2211,1231,980,251,591,5.724,0.0,1.751,0.0
7,183533601,1,1.514,2.0,1.192,647,324,323,1,242,0.563,0.0,0.0,0.0
8,184507401,252,4.704,6.0,1.103,968,580,388,192,247,6.446,0.02,1.769,0.0
9,185892901,156,4.577,6.0,1.483,1153,641,512,129,364,5.13,0.0,1.577,0.04
10,186028501,458,4.385,6.0,1.157,2195,1253,942,311,592,5.162,0.0,1.762,0.0
11,186821501,272,4.826,6.0,1.134,1080,633,447,186,267,6.77,0.0,1.853,0.01
12,187319101,1,1.309,2.0,0.886,106,53,53,0,38,0.841,0.0,0.036,0.0
13,187426001,223,5.753,7.0,2.176,750,453,297,156,170,6.471,0.0,1.728,0.01
14,187758401,3,1.458,6.0,1.017,1614,807,807,0,594,0.998,0.0,0.254,0.0
15,187781201,436,4.627,6.0,0.808,1823,1044,779,265,462,7.095,0.0,1.79,0.01
16,189660101,1,1.348,2.0,0.991,677,339,338,1,256,0.649,0.0,0.0,0.0
17,189877301,172,4.509,6.0,0.675,694,421,273,148,190,6.239,0.0,1.732,0.02
18,192487201,1,4.017,5.0,1.373,860,430,430,0,326,5.865,0.0,0.0,0.0
19,195978501,1,1.306,2.0,0.952,689,345,344,1,254,0.294,0.0,0.113,0.0
20,196727701,335,4.691,6.0,0.945,1308,768,540,228,323,6.818,0.0,1.708,0.01
21,199485101,126,4.677,6.0,0.761,457,278,179,99,110,6.942,0.04,1.913,0.06
22,199836701,145,4.47,6.0,0.714,779,443,336,107,226,7.038,0.01,1.835,0.01
23,200512301,1,1.483,2.0,0.864,1410,705,705,0,531,0.508,0.0,0.046,0.0
24,202213001,205,3.816,6.0,0.748,1617,854,763,91,486,5.994,0.0,1.457,0.0
25,202911501,44,4.045,6.0,1.029,691,360,331,29,236,6.662,0.0,2.395,0.0
26,204654801,1,1.358,2.0,0.735,1582,791,791,0,592,0.069,0.01,0.0,0.0
27,205014901,399,4.884,6.0,1.221,1499,900,599,301,372,6.623,0.0,1.746,0.01
28,206569901,3,1.386,5.0,0.925,514,257,257,0,193,1.062,0.0,0.307,0.0
29,207082401,1,1.276,2.0,0.698,1390,695,695,0,527,0.073,0.01,0.0,0.0
30,208812001,1,1.822,2.0,0.887,354,177,177,0,133,2.003,0.0,0.0,0.0
31,210350901,44,4.43,5.0,0.873,341,187,154,33,107,7.16,0.0,1.569,0.0
32,210919601,1,2.454,3.0,2.069,604,302,302,0,225,0.015,0.0,0.0,0.0
33,212667701,436,4.219,6.0,0.847,2153,1221,932,289,593,5.667,0.0,1.803,0.01
