Spalte1,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_mse,opt_rate,discovery_mse,discovery_rate
0,177830201,105,0.066821205,0.092448961,0.033026885,538,270,268,2,332,0.00448,0,0.00147,0
1,178468901,5,0.035375551,0.081226371,0.030877791,606,303,303,0,593,,0.53,0.00136,0.2
2,178483501,2,0.016404335,0.080775091,0.005129727,41,21,20,1,39,0.00116,0.94,0.00267,0.5
3,178885001,14,0.043658823,0.080335632,0.029664794,642,321,321,0,594,0.00066,0.05,0.00159,0
4,181758601,97,0.083908075,0.099003383,0.064246076,384,193,191,2,194,0.01106,0,0.00272,0
5,182232701,4,0.044190121,0.096288686,0.036903373,598,299,299,0,593,0.00045,0.01,0.00213,0
6,183097601,2,0.041614605,0.067718514,0.037259361,584,292,292,0,593,0.00025,0,0.00031,0
7,183533601,116,0.073667778,0.084134753,0.0560408,472,237,235,2,237,0.00593,0,0.00144,0
8,184507401,22,0.048991764,0.092898392,0.005424577,285,143,142,1,243,0.00136,0.23,0.00085,0
9,185892901,2,0.041751195,0.070230835,0.036926756,350,175,175,0,357,,0.16,0.00052,0
10,186028501,238,0.073445889,0.090172707,0.043520881,1088,544,544,0,594,0.00509,0,0.00154,0
11,186821501,73,0.063091937,0.095169405,0.035062008,412,206,206,0,261,0.00382,0.14,0.00163,0
12,187319101,7,0.065261704,0.092611466,0.043445783,43,22,21,1,34,0.00431,0,0.00201,0
13,187426001,83,0.084635201,0.095665538,0.074238652,330,165,165,0,163,0.00596,0,0.0014,0
14,187758401,305,0.077454256,0.092786749,0.059859736,1220,610,610,0,594,0.01067,0,0.00265,0
15,187781201,79,0.061194561,0.104013872,0.027845204,612,307,305,2,457,0.00461,0.51,0.00318,0.01
16,189660101,11,0.050141385,0.092662014,0.035670437,278,139,139,0,250,0.00243,0.02,0.00255,0
17,189877301,1,0.038546458,0.052784447,0.030056332,174,87,87,0,184,0.00066,0.12,0.00161,0
18,192487201,8,0.041934875,0.088300516,0.030173162,339,170,169,1,321,0.00083,0.15,0.00097,0.12
19,195978501,22,0.049360547,0.083966646,0.033082488,294,148,146,2,249,0.00086,0.03,0.00069,0.05
20,196727701,19,0.048134562,0.091347264,0.029723291,370,185,185,0,317,0.00130,0.2,0.00136,0
21,199485101,10,0.051444493,0.07836321,0.036801031,132,66,66,0,105,0.00255,0,0.00109,0
22,199836701,10,0.044585663,0.087088721,0.003699112,247,124,123,1,222,0.00268,0.11,0.00363,0
23,200512301,44,0.049849211,0.098260843,0.029746226,608,305,303,2,526,0.00184,0.24,0.00139,0
24,202213001,71,0.055769555,0.109130374,0.029671888,630,316,314,2,481,0.00300,0.02,0.00153,0
25,202911501,1,0.044530077,0.053097849,0.037422971,231,116,115,1,231,0.00298,0,0.00044,0
26,204654801,173,0.076219988,0.103738106,0.03895163,924,462,462,0,593,0.00755,0.01,0.00308,0.01
27,205014901,4,0.038749696,0.086409257,0.032606283,376,188,188,0,366,0.00013,0.56,0.00126,0
28,206569901,20,0.058226797,0.095705488,0.044228514,214,108,106,2,188,0.00247,0,0.00147,0
29,207082401,27,0.04551852,0.089223514,0.003759774,554,277,277,0,522,0.00076,0.22,0.00093,0.04
30,208812001,50,0.069068965,0.081440477,0.044653519,218,110,108,2,128,0.00979,0,0.00266,0
31,210350901,6,0.04232318,0.076787952,0.029907167,110,55,55,0,102,0.00077,0.02,0.00114,0
32,210919601,116,0.087106979,0.102246145,0.076028177,460,231,229,2,221,0.00361,0,0.00086,0
33,212667701,4,0.044724495,0.085383226,0.038486209,596,298,298,0,594,0.00175,0.01,0.00052,0
34,212769701,1,0.042549045,0.054378909,0.034004568,127,64,63,1,136,0.00086,0.03,4.00E-05,0
35,214367601,1,0.038880962,0.046923084,0.03106649,119,60,59,1,114,0.00153,0,0.00018,0
36,217649401,23,0.037516801,0.07113979,0.004277333,638,319,319,0,593,0.00066,0.33,0.00072,0
37,217764201,17,0.043545648,0.090677391,0.028042643,552,276,276,0,503,0.00062,0.04,0.00081,0
38,218303001,12,0.039064083,0.079562211,0.030075896,626,313,313,0,594,0.00029,0.23,0.00138,0
39,218688101,116,0.066256864,0.093216082,0.041277881,710,355,355,0,476,0.00428,0,0.00169,0
40,219468301,91,0.059408702,0.094247746,0.033739485,718,359,359,0,537,0.00226,0.02,0.00123,0
41,219511701,56,0.041986074,0.085232156,0.004907611,632,316,316,0,524,0.00154,0.18,0.00103,0
42,219900501,13,0.04175942,0.080143142,0.029236344,445,223,222,1,421,0.00054,0.34,0.0011,0.08
43,220699801,4,0.027865342,0.080469971,0.005412329,239,120,119,1,232,0.00021,0.97,0.00134,0.25
44,220961301,7,0.075253996,0.104092374,0.043150429,37,19,18,1,19,0.00621,0,0.00228,0
45,222570001,5,0.046637169,0.088677056,0.032024635,286,143,143,0,288,0.00076,0.09,0.00133,0.2
46,222993101,21,0.043907131,0.082794045,0.033005983,610,305,305,0,594,0.00047,0.15,0.00093,0
47,223048501,8,0.035097342,0.085453899,0.003799356,273,137,136,1,244,0.00073,0.2,0.00131,0
48,223120401,3,0.04096539,0.068016061,0.028076476,590,295,295,0,593,0.00031,0.4,0.00046,0.33
49,223856401,17,0.048033888,0.091446753,0.032995737,378,190,188,2,345,0.00157,0.14,0.00332,0.06
50,224397101,5,0.044550064,0.083522298,0.038028115,350,175,175,0,346,0.00056,0,0.00126,0
51,226600001,6,0.040024859,0.083527877,0.027525907,454,227,227,0,446,0.00035,0.26,0.00115,0
52,231526101,175,0.067172417,0.086934722,0.042167393,940,470,470,0,594,0.00385,0,0.00145,0
53,232198601,39,0.049904088,0.085838498,0.034104563,644,322,322,0,559,0.00394,0,0.00148,0
