,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,0.722,1.0,0.65,920,460,460,0,337,0.025,0.23,0.0,1.0
2,178483501,1,3.086,3.0,0.903,138,69,69,0,44,4.766,0.0,0.253,0.0
3,178885001,1,0.759,1.0,0.696,1584,792,792,0,590,0.165,0.0,0.046,0.0
4,181758601,1,3.14,3.0,0.903,542,271,271,0,199,4.842,0.0,0.253,0.0
5,182232701,1,0.729,1.0,0.668,1584,792,792,0,591,0.105,0.08,0.036,0.0
7,183533601,1,3.134,3.0,0.651,661,331,330,1,242,4.85,0.0,0.0,0.0
8,184507401,1,0.844,1.0,0.697,672,336,336,0,247,0.249,0.0,0.046,0.0
9,185892901,276,3.543,4.0,1.906,3361,1818,1543,275,364,5.464,0.0,2.925,0.0
10,186028501,1,1.83,5.0,0.904,1604,802,802,0,592,2.515,0.0,0.63,0.0
12,187319101,1,1.373,1.0,0.836,120,60,60,0,38,1.264,0.0,0.186,0.0
13,187426001,1,0.805,1.0,0.688,474,237,237,0,170,0.146,0.0,0.036,0.0
14,187758401,1,0.737,1.0,0.65,1624,812,812,0,594,0.119,0.16,0.0,0.0
15,187781201,1,1.124,1.0,0.837,1232,616,616,0,462,0.881,0.0,0.186,0.0
16,189660101,1,1.187,1.0,0.651,691,346,345,1,256,0.943,0.0,0.001,0.0
17,189877301,1,0.77,1.0,0.65,513,257,256,1,190,0.087,0.0,0.0,1.0
19,195978501,1,0.759,1.0,0.697,699,350,349,1,254,0.085,0.0,0.046,0.0
20,196727701,1,1.755,2.0,0.903,882,441,441,0,323,2.295,0.0,0.253,0.0
21,199485101,1,1.353,1.0,1.155,316,158,158,0,110,1.192,0.0,0.478,0.0
22,199836701,1,0.945,1.0,0.686,612,306,306,0,226,0.445,0.0,0.036,0.0
23,200512301,1,0.713,1.0,0.651,1424,712,712,0,531,0.065,0.21,0.0,0.0
24,202213001,1,1.464,2.0,0.795,1310,655,655,0,486,1.886,0.0,1.005,0.0
25,202911501,1,1.648,2.0,0.651,648,324,324,0,236,1.861,0.0,0.001,0.0
26,204654801,1,1.196,1.0,0.697,1596,798,798,0,592,1.028,0.0,0.046,0.0
27,205014901,1,0.738,1.0,0.651,1018,509,509,0,372,0.075,0.01,0.0,1.0
28,206569901,1,1.268,1.0,0.903,522,261,261,0,193,1.086,0.0,0.253,0.0
29,207082401,633,1.656,2.0,0.904,7918,4275,3643,632,527,2.002,0.0,0.965,0.0
30,208812001,1,1.649,2.0,0.651,368,184,184,0,133,1.818,0.0,0.001,0.0
32,210919601,1,3.125,3.0,0.652,618,309,309,0,225,4.834,0.0,0.0,0.0
