,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,1.984,5.0,1.054,908,454,454,0,337,3.245,0.0,0.0,1.0
2,178483501,1,3.013,3.0,0.651,124,62,62,0,44,4.864,0.0,0.0,1.0
3,178885001,1,0.762,1.0,0.65,1572,786,786,0,590,0.327,0.0,0.0,1.0
4,181758601,1,1.859,2.0,0.652,528,264,264,0,199,2.542,0.0,0.0,1.0
5,182232701,1,1.505,5.0,0.65,1572,786,786,0,591,2.491,0.0,0.0,1.0
7,183533601,1,0.721,1.0,0.651,647,324,323,1,242,0.142,0.0,0.0,1.0
8,184507401,1,1.882,3.0,0.651,658,329,329,0,247,2.721,0.0,0.0,1.0
9,185892901,1,0.668,1.0,0.651,972,486,486,0,364,0.035,0.0,0.0,1.0
10,186028501,1,1.51,5.0,0.65,1592,796,796,0,592,2.515,0.0,0.0,1.0
11,186821501,1,2.232,5.0,0.652,723,362,361,1,267,3.637,0.0,0.0,1.0
12,187319101,1,3.074,3.0,0.651,106,53,53,0,38,4.968,0.0,0.0,1.0
13,187426001,1,2.734,5.0,0.652,462,231,231,0,170,4.492,0.0,0.0,1.0
14,187758401,1,1.361,3.0,0.65,1610,805,805,0,594,1.825,0.0,0.0,1.0
15,187781201,1,1.536,3.0,0.651,1218,609,609,0,462,2.103,0.0,0.0,1.0
16,189660101,1,1.659,2.0,0.65,677,339,338,1,256,2.259,0.0,0.0,1.0
17,189877301,1,1.875,2.0,0.651,499,250,249,1,190,2.569,0.0,0.0,1.0
18,192487201,1,1.473,2.0,0.651,860,430,430,0,326,2.004,0.0,0.0,1.0
19,195978501,1,0.874,1.0,0.651,689,345,344,1,254,0.491,0.0,0.0,1.0
20,196727701,1,0.728,1.0,0.65,868,434,434,0,323,0.156,0.0,0.0,1.0
21,199485101,1,0.983,1.0,0.651,306,153,153,0,110,0.671,0.0,0.0,1.0
22,199836701,1,1.938,3.0,0.722,598,299,299,0,226,2.836,0.0,0.0,1.0
23,200512301,1,0.712,1.0,0.651,1410,705,705,0,531,0.13,0.0,0.0,1.0
24,202213001,1,0.785,1.0,0.65,1300,650,650,0,486,0.359,0.0,0.0,1.0
25,202911501,1,1.725,2.0,0.651,634,317,317,0,236,2.35,0.0,0.0,1.0
26,204654801,1,0.706,1.0,0.65,1582,791,791,0,592,0.123,0.0,0.0,1.0
27,205014901,1,0.697,1.0,0.651,1004,502,502,0,372,0.114,0.34,0.0,1.0
28,206569901,1,2.592,5.0,0.651,510,255,255,0,193,4.229,0.0,0.0,1.0
29,207082401,1,1.588,5.0,0.65,1390,695,695,0,527,2.611,0.0,0.0,1.0
30,208812001,1,2.087,2.0,0.65,354,177,177,0,133,2.912,0.0,0.0,1.0
31,210350901,1,0.983,1.0,0.65,288,144,144,0,107,0.671,0.01,0.0,1.0
32,210919601,1,0.724,1.0,0.652,604,302,302,0,225,0.145,0.0,0.0,1.0
33,212667701,1,1.369,3.0,0.651,1572,786,786,0,593,1.849,0.0,0.0,1.0
34,212769701,1,0.953,1.0,0.65,368,184,184,0,140,0.62,0.0,0.0,1.0
35,214367601,1,2.141,2.0,0.65,312,156,156,0,119,3.004,0.0,0.0,1.0
36,217649401,1,0.661,1.0,0.65,1578,789,789,0,590,0.027,0.0,0.0,1.0
37,217764201,1,1.473,3.0,0.65,1360,680,680,0,509,1.999,0.0,0.0,1.0
38,218303001,1,1.365,3.0,0.651,1600,800,800,0,594,1.842,0.0,0.0,1.0
39,218688101,1,1.505,3.0,0.651,1316,658,658,0,482,2.043,0.0,0.0,1.0
40,219468301,1,1.159,2.0,0.651,1454,727,727,0,544,1.542,0.0,0.0,1.0
41,219511701,1,1.598,5.0,0.651,1416,708,708,0,530,2.647,0.0,0.0,1.0
42,219900501,1,1.59,3.0,0.651,1130,565,565,0,426,2.21,0.0,0.0,1.0
43,220699801,1,0.721,1.0,0.65,640,320,320,0,236,0.143,0.0,0.0,1.0
44,220961301,1,4.342,5.0,0.651,72,36,36,0,24,7.785,0.03,0.0,1.0
45,222570001,1,1.549,2.0,0.651,768,384,384,0,293,2.101,0.0,0.0,1.0
46,222993101,1,1.112,2.0,0.65,1566,783,783,0,595,1.467,0.0,0.0,1.0
47,223048501,1,0.882,2.0,0.777,668,334,334,0,249,0.496,0.0,0.0,1.0
