,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,0.717,1.0,0.65,908,454,454,0,337,0.233,0.0,0.0,0.0
2,178483501,1,0.945,1.0,0.65,124,62,62,0,44,0.638,0.0,0.0,0.0
3,178885001,1,1.462,2.0,0.65,1572,786,786,0,590,2.074,0.0,0.504,0.0
4,181758601,1,0.695,1.0,0.651,528,264,264,0,199,0.096,0.0,0.0,0.0
5,182232701,1,1.071,2.0,0.65,1572,786,786,0,591,0.92,0.0,0.064,0.0
7,183533601,1,0.775,1.0,0.651,647,324,323,1,242,0.251,0.0,0.002,0.0
8,184507401,1,0.694,2.0,0.651,658,329,329,0,247,0.083,0.0,0.0,1.0
9,185892901,1,0.666,1.0,0.651,972,486,486,0,364,0.062,0.0,0.056,0.0
10,186028501,1,1.071,2.0,0.65,1592,796,796,0,592,0.92,0.0,0.064,0.0
11,186821501,1,2.15,2.0,0.82,723,362,361,1,267,3.008,0.0,0.169,0.0
12,187319101,1,0.726,1.0,0.65,106,53,53,0,38,0.155,0.0,0.0,0.0
13,187426001,1,0.707,1.0,0.677,462,231,231,0,170,0.11,0.0,0.026,0.0
14,187758401,1,1.069,2.0,0.65,1610,805,805,0,594,0.915,0.0,0.001,0.0
15,187781201,1,0.677,1.0,0.65,1218,609,609,0,462,0.081,0.0,0.0,0.0
16,189660101,1,1.642,2.0,0.65,677,339,338,1,256,1.998,0.0,0.001,0.0
17,189877301,1,0.702,1.0,0.65,499,250,249,1,190,0.106,0.0,0.0,0.0
18,192487201,1,0.835,1.0,0.651,860,430,430,0,326,0.388,0.0,0.0,0.0
19,195978501,1,0.86,2.0,0.819,689,345,344,1,254,0.424,0.0,0.101,0.0
20,196727701,1,1.983,2.0,0.65,868,434,434,0,323,2.777,0.0,0.0,0.0
21,199485101,3,0.716,2.0,0.652,308,155,153,2,110,0.101,0.0,0.581,0.0
22,199836701,1,0.69,1.0,0.65,598,299,299,0,226,0.091,0.0,0.0,0.0
23,200512301,1,0.848,1.0,0.651,1410,705,705,0,531,0.47,0.0,0.001,0.0
24,202213001,1,0.72,1.0,0.697,1300,650,650,0,486,0.148,0.0,0.047,0.0
25,202911501,1,0.691,1.0,0.65,634,317,317,0,236,0.084,0.01,0.0,1.0
26,204654801,1,0.665,2.0,0.65,1582,791,791,0,592,0.033,0.0,0.0,0.0
27,205014901,1,0.818,1.0,0.651,1004,502,502,0,372,0.365,0.0,0.0,0.0
28,206569901,1,0.752,1.0,0.65,510,255,255,0,193,0.204,0.0,0.001,0.0
29,207082401,1,1.186,2.0,0.687,1390,695,695,0,527,1.296,0.0,0.253,0.0
30,208812001,1,0.817,1.0,0.65,354,177,177,0,133,0.373,0.0,0.0,0.0
31,210350901,1,1.047,1.0,0.651,288,144,144,0,107,0.799,0.0,0.001,0.0
32,210919601,1,1.27,2.0,0.652,604,302,302,0,225,1.255,0.0,0.001,0.0
33,212667701,5,0.709,2.0,0.651,1576,790,786,4,593,0.146,0.0,0.286,0.0
34,212769701,1,0.901,1.0,0.65,368,184,184,0,140,0.505,0.0,0.0,0.0
35,214367601,1,0.897,1.0,0.65,312,156,156,0,119,0.502,0.0,0.0,0.0
36,217649401,1,0.652,1.0,0.651,1578,789,789,0,590,0.005,0.0,0.001,0.0
37,217764201,1,0.653,1.0,0.651,1360,680,680,0,509,0.034,0.0,0.001,0.0
38,218303001,1,0.667,1.0,0.65,1600,800,800,0,594,0.053,0.58,0.0,1.0
39,218688101,1,0.731,1.0,0.651,1316,658,658,0,482,0.17,0.0,0.0,0.0
40,219468301,1,1.53,2.0,0.65,1454,727,727,0,544,1.848,0.0,0.0,0.0
41,219511701,1,0.792,1.0,0.65,1416,708,708,0,530,0.314,0.0,0.0,0.0
42,219900501,3,0.657,2.0,0.651,1132,567,565,2,426,0.012,0.0,0.58,0.0
43,220699801,1,0.775,1.0,0.65,640,320,320,0,236,0.252,0.0,0.002,0.0
44,220961301,1,1.034,1.0,0.714,72,36,36,0,24,0.798,0.0,0.084,0.0
45,222570001,1,0.65,1.0,0.65,768,384,384,0,293,0.0,0.0,0.0,0.0
46,222993101,1,0.68,1.0,0.65,1566,783,783,0,595,0.066,0.0,0.0,0.0
47,223048501,1,0.97,2.0,0.714,668,334,334,0,249,0.653,0.0,0.001,0.0
48,223120401,3,0.754,1.0,0.65,1576,789,787,2,591,0.287,0.0,0.149,0.0
49,223856401,1,0.918,1.0,0.795,950,475,475,0,350,0.571,0.0,0.001,0.0
50,224397101,1,0.678,1.0,0.65,930,465,465,0,352,0.078,0.0,0.0,0.0
51,226600001,1,1.653,2.0,0.65,1200,600,600,0,451,2.009,0.0,0.0,0.0
52,231526101,3,0.719,2.0,0.651,1584,793,791,2,591,0.154,0.0,0.581,0.0
53,232198601,1,0.727,2.0,0.688,1522,761,761,0,565,0.175,0.0,0.038,0.0
55,235994101,1,0.675,1.0,0.65,509,255,254,1,194,0.068,0.0,0.0,0.0
56,236937001,1,0.724,1.0,0.651,126,63,63,0,47,0.151,0.0,0.0,0.0
57,240029901,1,1.154,2.0,0.651,1548,774,774,0,591,1.348,0.0,0.253,0.0
58,240989701,1,1.632,2.0,0.651,528,264,264,0,203,1.987,0.0,0.001,0.0
59,242921301,1,0.696,1.0,0.65,274,137,137,0,104,0.092,0.0,0.0,0.0
60,245740201,1,0.778,1.0,0.65,1604,802,802,0,592,0.298,0.0,0.0,0.0
61,247273001,1,0.752,1.0,0.651,809,405,404,1,305,0.202,0.0,0.0,0.0
62,248044901,3,0.832,2.0,0.651,1590,796,794,2,591,0.449,0.0,0.601,0.0
63,253529101,1,1.446,2.0,0.65,1596,798,798,0,596,1.755,0.0,0.0,0.0
64,256334601,1,0.651,1.0,0.651,492,246,246,0,181,0.0,0.0,0.0,0.0
65,257051801,1,1.128,2.0,0.651,1614,807,807,0,595,1.221,0.0,0.001,0.0
66,257872901,1,0.867,1.0,0.652,202,101,101,0,75,0.515,0.0,0.202,0.0
67,259827801,1,1.11,2.0,0.689,1404,702,702,0,519,0.977,0.0,0.253,0.0
68,261217901,5,0.905,2.0,0.652,180,92,88,4,66,0.499,0.01,0.13,0.2
69,262938201,1,0.724,1.0,0.65,148,74,74,0,55,0.15,0.0,0.036,0.0
70,263181301,1,0.701,1.0,0.651,308,154,154,0,115,0.113,0.0,0.0,0.0
71,266876301,1,0.672,1.0,0.651,908,454,454,0,338,0.044,0.0,0.0,0.0
72,267044101,5,0.726,2.0,0.651,1570,787,783,4,591,0.174,0.0,0.465,0.0
73,267411001,1,0.718,1.0,0.65,660,330,330,0,245,0.285,0.0,0.0,0.0
74,268164901,1,1.194,2.0,0.904,990,495,495,0,366,1.114,0.0,0.145,0.0
75,268192501,1,1.451,2.0,0.65,1582,791,791,0,595,2.058,0.0,0.0,0.0
76,269306201,1,1.356,2.0,0.651,1104,552,552,0,421,1.594,0.0,0.001,0.0
77,270552801,1,0.686,1.0,0.65,1279,640,639,1,484,0.072,0.0,0.0,0.0
78,270862901,1,0.713,1.0,0.651,504,252,252,0,191,0.126,0.0,0.0,0.0
79,271207601,1,0.71,1.0,0.651,238,119,119,0,87,0.126,0.0,0.0,0.0
