,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
2,178483501,1,0.887,1.0,0.65,138,69,69,0,44,0.491,0.0,0.0,0.0
3,178885001,1,1.248,2.0,0.904,1586,793,793,0,590,1.411,0.0,0.253,0.0
7,183533601,1,0.793,1.0,0.651,661,331,330,1,242,0.298,0.0,0.0,0.0
8,184507401,1,0.681,1.0,0.65,672,336,336,0,247,0.088,0.42,0.0,0.0
9,185892901,307,1.656,2.0,0.904,4174,2240,1934,306,364,2.009,0.0,1.006,0.0
10,186028501,1,1.012,1.0,0.796,1606,803,803,0,592,0.735,0.0,0.145,0.0
11,186821501,1,1.651,2.0,0.651,737,369,368,1,267,2.009,0.0,0.001,0.0
13,187426001,1,0.745,1.0,0.689,476,238,238,0,170,0.201,0.0,0.079,0.0
14,187758401,1,1.01,1.0,0.651,1624,812,812,0,594,0.734,0.0,0.001,0.0
15,187781201,1,0.707,1.0,0.651,1232,616,616,0,462,0.131,0.0,0.0,0.0
16,189660101,1,0.839,1.0,0.65,691,346,345,1,256,0.437,0.0,0.0,0.0
17,189877301,1,0.901,1.0,0.65,513,257,256,1,190,0.504,0.0,0.0,0.0
18,192487201,1,0.663,1.0,0.65,874,437,437,0,326,0.065,0.0,0.0,0.0
20,196727701,1,0.693,1.0,0.65,882,441,441,0,323,0.089,0.0,0.0,0.0
21,199485101,1,0.833,1.0,0.729,320,160,160,0,110,0.367,0.0,0.078,0.0
22,199836701,1,0.736,1.0,0.668,612,306,306,0,226,0.173,0.0,0.018,0.0
23,200512301,1,0.74,1.0,0.651,1424,712,712,0,531,0.184,0.0,0.0,0.0
24,202213001,1,0.743,1.0,0.687,1312,656,656,0,486,0.19,0.0,0.036,0.0
25,202911501,1,1.65,2.0,0.651,648,324,324,0,236,2.009,0.0,0.001,0.0
26,204654801,1,1.352,2.0,0.652,1596,798,798,0,592,1.59,0.0,0.001,0.0
28,206569901,1,0.809,1.0,0.686,524,262,262,0,193,0.324,0.0,0.036,0.0
29,207082401,1,0.744,1.0,0.697,1404,702,702,0,527,0.217,0.0,0.046,0.0
30,208812001,1,0.759,1.0,0.651,368,184,184,0,133,0.224,0.0,0.001,0.0
32,210919601,1,1.143,1.0,0.652,618,309,309,0,225,0.995,0.0,0.0,0.0
33,212667701,1,0.848,1.0,0.65,1586,793,793,0,593,0.622,0.0,0.0,0.0
34,212769701,1,0.776,1.0,0.687,380,190,190,0,140,0.253,0.0,0.036,0.0
35,214367601,1,0.712,1.0,0.65,326,163,163,0,119,0.126,0.0,0.0,0.0
36,217649401,1,0.73,1.0,0.651,1590,795,795,0,590,0.175,0.0,0.046,0.0
38,218303001,1,0.98,1.0,0.697,1614,807,807,0,594,0.726,0.0,0.101,0.0
40,219468301,1,1.008,1.0,0.696,1468,734,734,0,544,0.76,0.0,0.046,0.0
41,219511701,1,1.013,1.0,0.819,1430,715,715,0,530,0.767,0.0,0.36,0.0
42,219900501,1,1.052,1.0,0.651,1144,572,572,0,426,0.805,0.0,0.001,0.0
43,220699801,1,0.65,1.0,0.65,654,327,327,0,236,0.0,0.0,0.0,0.0
45,222570001,1,0.729,1.0,0.651,782,391,391,0,293,0.161,0.0,0.0,0.0
