,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,0.831,1.0,0.652,908,454,454,0,337,0.363,0.0,0.002,0.0
2,178483501,1,0.773,1.0,0.65,124,62,62,0,44,0.267,0.0,0.0,0.0
3,178885001,1,0.75,1.0,0.686,1572,786,786,0,590,0.23,0.0,0.154,0.0
4,181758601,3,0.761,1.0,0.651,530,266,264,2,199,0.241,0.0,0.0,0.0
5,182232701,1,0.869,1.0,0.752,1572,786,786,0,591,0.544,0.0,0.253,0.0
7,183533601,1,1.039,1.0,0.651,647,324,323,1,242,0.82,0.0,0.0,0.0
8,184507401,1,0.733,1.0,0.65,658,329,329,0,247,0.184,0.0,0.0,0.0
9,185892901,3,0.682,2.0,0.651,974,488,486,2,364,0.105,0.0,0.59,0.0
10,186028501,1,0.854,1.0,0.652,1592,796,796,0,592,0.499,0.0,0.001,0.0
11,186821501,1,1.002,1.0,0.652,723,362,361,1,267,0.723,0.0,0.001,0.0
12,187319101,1,0.65,1.0,0.65,106,53,53,0,38,0.0,0.08,0.0,0.0
13,187426001,1,0.835,1.0,0.778,462,231,231,0,170,0.368,0.0,0.127,0.0
14,187758401,6,0.836,5.0,0.65,1619,810,809,1,594,0.799,0.0,1.027,0.0
15,187781201,5,0.882,5.0,0.651,1226,613,613,0,462,0.886,0.0,0.162,0.0
16,189660101,6,0.993,5.0,0.65,686,344,342,2,256,1.132,0.0,0.415,0.17
17,189877301,1,0.828,1.0,0.668,499,250,249,1,190,0.359,0.0,0.018,0.0
18,192487201,1,1.64,2.0,0.651,860,430,430,0,326,1.997,0.0,0.0,0.0
19,195978501,1,1.008,1.0,0.688,689,345,344,1,254,0.733,0.0,0.037,0.0
20,196727701,6,0.957,5.0,0.65,877,439,438,1,323,1.022,0.0,1.027,0.0
21,199485101,1,0.731,1.0,0.696,306,153,153,0,110,0.189,0.0,0.046,0.0
22,199836701,1,0.651,1.0,0.65,598,299,299,0,226,0.007,0.01,0.0,0.0
23,200512301,1,0.776,1.0,0.697,1410,705,705,0,531,0.258,0.0,0.046,0.0
24,202213001,1,0.752,1.0,0.651,1300,650,650,0,486,0.204,0.0,0.001,0.0
25,202911501,1,0.829,1.0,0.651,634,317,317,0,236,0.374,0.0,0.001,0.0
26,204654801,1,1.289,2.0,0.65,1582,791,791,0,592,1.52,0.0,0.0,0.0
27,205014901,1,0.651,1.0,0.651,1004,502,502,0,372,0.001,0.0,0.001,0.0
28,206569901,6,1.158,5.0,0.777,519,260,259,1,193,1.397,0.0,0.223,0.0
29,207082401,1,1.363,2.0,0.903,1390,695,695,0,527,1.603,0.0,0.253,0.0
30,208812001,1,1.143,1.0,0.752,354,177,177,0,133,0.995,0.0,0.101,0.0
31,210350901,1,0.703,1.0,0.65,288,144,144,0,107,0.107,0.0,0.0,0.0
32,210919601,1,0.905,2.0,0.652,604,302,302,0,225,0.536,0.0,0.001,0.0
33,212667701,1,0.978,1.0,0.651,1572,786,786,0,593,0.718,0.0,0.001,0.0
34,212769701,1,1.051,2.0,0.651,368,184,184,0,140,1.171,0.0,0.253,0.0
35,214367601,3,0.79,1.0,0.65,314,158,156,2,119,0.292,0.0,0.0,0.0
36,217649401,1,0.734,1.0,0.701,1578,789,789,0,590,0.176,0.0,0.051,0.0
37,217764201,1,1.007,1.0,0.651,1360,680,680,0,509,0.765,0.0,0.001,0.0
38,218303001,3,0.997,5.0,0.65,1604,802,802,0,594,0.879,0.0,0.248,0.0
39,218688101,1,0.809,1.0,0.65,1316,658,658,0,482,0.329,0.0,0.0,0.0
40,219468301,1,0.796,1.0,0.65,1454,727,727,0,544,0.311,0.0,0.0,0.0
41,219511701,6,0.824,5.0,0.752,1425,713,712,1,530,0.756,0.0,0.216,0.0
42,219900501,1,0.747,1.0,0.651,1130,565,565,0,426,0.197,0.0,0.0,1.0
43,220699801,1,0.736,1.0,0.65,640,320,320,0,236,0.187,0.0,0.0,0.0
44,220961301,1,0.796,1.0,0.651,72,36,36,0,24,0.308,0.0,0.0,0.0
45,222570001,1,1.289,2.0,0.651,768,384,384,0,293,1.584,0.0,0.254,0.0
46,222993101,1,0.701,1.0,0.651,1566,783,783,0,595,0.11,0.0,0.0,0.0
47,223048501,3,0.745,2.0,0.65,670,336,334,2,249,0.214,0.0,0.155,0.0
48,223120401,1,2.3,3.0,0.65,1574,787,787,0,591,3.902,0.0,0.0,0.0
49,223856401,1,0.782,1.0,0.728,950,475,475,0,350,0.283,0.0,0.154,0.0
50,224397101,1,3.104,3.0,0.65,930,465,465,0,352,4.96,0.0,0.0,0.0
51,226600001,1,0.775,1.0,0.651,1200,600,600,0,451,0.286,0.0,0.001,0.0
52,231526101,1,0.854,1.0,0.688,1582,791,791,0,591,0.497,0.0,0.037,0.0
53,232198601,1,0.785,1.0,0.689,1522,761,761,0,565,0.295,0.0,0.08,0.0
55,235994101,1,0.729,1.0,0.65,509,255,254,1,194,0.16,0.0,0.0,0.0
56,236937001,1,1.569,2.0,0.652,126,63,63,0,47,1.931,0.0,0.001,0.0
57,240029901,1,0.784,1.0,0.65,1548,774,774,0,591,0.299,0.0,0.169,0.0
58,240989701,1,1.573,2.0,0.652,528,264,264,0,203,1.909,0.0,0.001,0.0
59,242921301,1,1.08,1.0,0.688,274,137,137,0,104,0.869,0.0,0.037,0.0
60,245740201,6,0.777,5.0,0.65,1613,807,806,1,592,0.678,0.0,0.426,0.17
61,247273001,1,0.836,1.0,0.653,809,405,404,1,305,0.373,0.0,0.002,0.0
62,248044901,1,0.751,2.0,0.651,1588,794,794,0,591,0.342,0.0,0.001,0.0
63,253529101,1,0.867,1.0,0.651,1596,798,798,0,596,0.54,0.0,0.0,0.0
64,256334601,1,1.646,2.0,0.652,492,246,246,0,181,2.004,0.0,0.001,0.0
65,257051801,5,2.322,5.0,0.651,1622,811,811,0,595,3.951,0.0,0.466,0.0
66,257872901,1,0.903,1.0,0.797,202,101,101,0,75,0.506,0.0,0.145,0.0
67,259827801,5,2.535,5.0,0.729,1412,706,706,0,519,4.211,0.0,0.421,0.0
68,261217901,1,0.795,1.0,0.715,176,88,88,0,66,0.288,0.0,0.063,0.0
69,262938201,1,0.898,1.0,0.751,148,74,74,0,55,0.501,0.0,0.101,0.0
70,263181301,1,0.65,1.0,0.65,308,154,154,0,115,0.0,0.01,0.0,1.0
71,266876301,1,0.831,1.0,0.651,908,454,454,0,338,0.369,0.0,0.0,0.0
72,267044101,1,0.674,1.0,0.65,1566,783,783,0,591,0.059,0.0,0.0,0.0
73,267411001,3,1.159,5.0,0.651,664,332,332,0,245,1.216,0.0,0.168,0.0
74,268164901,1,0.735,1.0,0.65,990,495,495,0,366,0.169,0.0,0.0,0.0
75,268192501,1,0.853,1.0,0.651,1582,791,791,0,595,0.497,0.0,0.001,0.0
76,269306201,1,0.683,1.0,0.651,1104,552,552,0,421,0.07,0.0,0.0,0.0
77,270552801,1,0.799,1.0,0.652,1279,640,639,1,484,0.315,0.0,0.002,0.0
78,270862901,1,0.826,1.0,0.651,504,252,252,0,191,0.356,0.0,0.0,0.0
79,271207601,3,1.326,5.0,0.651,242,121,121,0,87,1.705,0.0,0.118,0.0
80,271501201,1,0.776,1.0,0.715,1202,601,601,0,449,0.285,0.0,0.064,0.0
81,271671501,6,2.965,5.0,0.65,1075,538,537,1,404,4.772,0.0,0.31,0.0
82,273687001,1,0.744,1.0,0.668,14,7,7,0,5,0.224,0.0,0.018,0.0
83,274252701,1,0.734,1.0,0.651,1598,799,799,0,595,0.175,0.0,0.0,0.0
84,275473701,1,1.29,2.0,0.651,232,116,116,0,88,1.494,0.0,0.001,0.0
85,282893001,1,0.781,1.0,0.653,1576,788,788,0,590,0.29,0.0,0.038,0.0
86,283237601,1,0.749,1.0,0.651,434,217,217,0,158,0.201,0.0,0.0,0.0
87,284492401,1,0.769,1.0,0.696,1606,803,803,0,592,0.248,0.0,0.046,0.0
88,285373201,6,0.939,5.0,0.65,953,477,476,1,353,0.963,0.0,0.221,0.0
89,285391201,1,0.816,1.0,0.65,192,96,96,0,71,0.35,0.0,0.0,0.0
90,287074901,1,0.749,1.0,0.687,1574,787,787,0,593,0.228,0.0,0.056,0.0
91,287392801,1,0.768,1.0,0.651,1594,797,797,0,596,0.248,0.0,0.0,0.0
92,287882201,1,0.758,1.0,0.668,1392,696,696,0,524,0.241,0.0,0.018,0.0
94,291918801,1,0.692,1.0,0.65,1216,608,608,0,456,0.124,0.0,0.0,0.0
95,294077501,1,0.73,1.0,0.651,1038,519,519,0,391,0.164,0.0,0.0,0.0
96,294851801,1,0.75,1.0,0.686,1592,796,796,0,594,0.228,0.0,0.078,0.0
97,295786301,1,0.755,1.0,0.651,898,449,449,0,336,0.21,0.0,0.0,1.0
98,295832401,1,0.736,1.0,0.65,584,292,292,0,220,0.178,0.0,0.0,0.0
99,296967301,1,0.977,1.0,0.715,1582,791,791,0,592,0.715,0.0,0.064,0.0
100,297260101,1,0.763,1.0,0.701,558,279,279,0,208,0.227,0.0,0.051,0.0
101,298719001,1,0.831,1.0,0.65,462,231,231,0,175,0.364,0.0,0.0,0.0
