,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,340,3.913,5.0,0.65,1317,793,524,269,337,5.938,0.03,0.002,1.0
2,178483501,4,1.308,5.0,0.683,127,65,62,3,44,1.934,0.0,0.0,1.0
3,178885001,1,1.654,2.0,0.651,1572,786,786,0,590,2.004,0.0,0.0,1.0
4,181758601,1,1.59,2.0,0.651,528,264,264,0,199,1.924,0.0,0.0,1.0
5,182232701,327,2.875,5.0,0.65,1963,1112,851,261,591,3.47,0.01,0.006,0.97
7,183533601,258,4.05,5.0,0.65,944,581,363,218,242,5.787,0.04,0.004,1.0
8,184507401,263,4.12,5.0,0.65,958,591,367,224,247,5.914,0.05,0.0,1.0
9,185892901,321,3.696,5.0,0.651,1330,806,524,282,364,4.29,0.01,0.001,1.0
10,186028501,39,1.161,5.0,0.65,1632,834,798,36,592,0.722,0.0,0.0,1.0
11,186821501,106,2.479,5.0,0.65,844,467,377,90,267,2.511,0.02,0.004,0.99
12,187319101,44,3.668,5.0,0.65,152,96,56,40,38,6.434,0.0,0.0,1.0
13,187426001,195,4.333,5.0,0.651,676,425,251,174,170,5.854,0.02,0.003,0.99
14,187758401,138,1.81,5.0,0.65,1773,942,831,111,594,1.919,0.0,0.0,0.94
15,187781201,360,3.483,5.0,0.65,1637,968,669,299,462,4.384,0.02,0.005,0.99
16,189660101,1,1.506,2.0,0.651,677,339,338,1,256,1.777,0.0,0.0,1.0
17,189877301,11,0.968,5.0,0.65,511,260,251,9,190,1.018,0.0,0.0,1.0
18,192487201,1,1.403,2.0,0.651,860,430,430,0,326,1.611,0.0,0.0,1.0
19,195978501,272,4.039,5.0,0.65,990,616,374,242,254,5.42,0.05,0.001,1.0
20,196727701,1,0.994,5.0,0.852,868,434,434,0,323,0.777,0.0,0.0,1.0
21,199485101,124,4.042,5.0,0.65,447,276,171,105,110,6.02,0.06,0.002,0.99
22,199836701,237,4.064,5.0,0.65,872,535,337,198,226,5.965,0.04,0.003,0.94
23,200512301,377,3.369,5.0,0.65,1838,1081,757,324,531,3.668,0.02,0.001,1.0
24,202213001,40,1.127,5.0,0.65,1341,689,652,37,486,0.996,0.0,0.0,1.0
25,202911501,1,1.535,2.0,0.65,634,317,317,0,236,1.828,0.0,0.0,1.0
