,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,3.368,5.0,0.795,908,454,454,0,337,5.963,0.0,0.099,0.0
2,178483501,4,3.082,5.0,0.686,128,65,63,2,44,5.398,0.0,1.472,0.0
3,178885001,18,0.855,5.0,0.65,1592,803,789,14,590,0.857,0.0,1.606,0.06
4,181758601,5,1.58,5.0,0.651,534,268,266,2,199,1.998,0.0,1.806,0.0
5,182232701,3,0.884,5.0,0.707,1576,788,788,0,591,0.687,0.0,0.437,0.33
7,183533601,1,1.709,3.0,0.651,647,324,323,1,242,2.239,0.0,0.0,0.0
8,184507401,5,1.4,5.0,0.729,664,333,331,2,247,1.59,0.0,1.922,0.2
9,185892901,1,3.204,5.0,1.28,972,486,486,0,364,5.724,0.0,0.334,0.0
10,186028501,13,0.88,5.0,0.651,1607,808,799,9,592,0.877,0.0,1.446,0.0
11,186821501,1,2.106,5.0,0.904,723,362,361,1,267,3.166,0.0,0.099,0.0
12,187319101,13,2.336,5.0,0.65,119,65,54,11,38,4.032,0.02,2.125,0.08
13,187426001,8,1.06,5.0,0.651,469,238,231,7,170,0.757,0.01,1.537,0.12
14,187758401,1,1.627,5.0,0.65,1610,805,805,0,594,2.296,0.0,0.064,0.0
15,187781201,4,1.449,5.0,0.651,1223,612,611,1,462,1.866,0.0,3.018,0.0
16,189660101,11,1.783,5.0,0.65,689,349,340,9,256,2.365,0.0,2.002,0.0
17,189877301,11,0.958,5.0,0.65,513,260,253,7,190,1.327,0.0,0.895,0.0
18,192487201,1,1.214,2.0,0.651,860,430,430,0,326,1.334,0.0,0.001,0.0
19,195978501,1,1.681,4.0,0.697,689,345,344,1,254,2.222,0.0,0.0,1.0
20,196727701,1,3.147,3.0,0.651,868,434,434,0,323,4.995,0.0,0.504,0.0
21,199485101,8,1.422,5.0,0.77,316,160,156,4,110,1.823,0.0,1.92,0.0
22,199836701,1,2.148,2.0,0.65,598,299,299,0,226,2.99,0.0,0.169,0.0
23,200512301,14,1.003,5.0,0.651,1427,718,709,9,531,1.022,0.0,1.273,0.07
