,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,225,3.646,5.0,0.65,1252,678,574,104,337,5.835,0.0,2.42,0.01
2,178483501,3,1.944,5.0,0.686,128,64,64,0,44,2.926,0.0,0.303,0.0
3,178885001,57,1.24,5.0,0.686,1651,842,809,33,590,1.712,0.0,2.964,0.0
4,181758601,1,2.149,2.0,0.651,528,264,264,0,199,2.988,0.0,0.0,0.0
5,182232701,193,2.657,5.0,0.704,1863,978,885,93,591,4.185,0.0,2.291,0.01
7,183533601,228,4.158,5.0,0.65,984,551,433,118,242,7.205,0.0,2.264,0.0
8,184507401,1,4.539,5.0,0.797,658,329,329,0,247,7.859,0.0,0.145,0.0
9,185892901,222,3.274,5.0,0.651,1307,707,600,107,364,5.318,0.0,2.386,0.01
10,186028501,201,2.689,5.0,0.651,1881,996,885,111,592,3.888,0.0,2.249,0.01
11,186821501,218,4.059,5.0,0.65,1061,579,482,97,267,6.863,0.0,2.276,0.0
12,187319101,1,1.62,2.0,0.65,106,53,53,0,38,1.874,0.0,0.0,0.0
13,187426001,1,3.646,4.0,1.657,462,231,231,0,170,5.982,0.0,0.625,0.0
14,187758401,213,2.758,5.0,0.65,1948,1017,931,86,594,4.362,0.0,2.359,0.0
15,187781201,1,2.577,3.0,0.651,1218,609,609,0,462,4.213,0.0,0.253,0.0
16,189660101,3,1.264,5.0,0.651,681,341,340,1,256,1.483,0.02,0.594,0.0
17,189877301,1,4.442,5.0,0.713,499,250,249,1,190,7.723,0.0,0.063,0.0
18,192487201,49,1.581,5.0,0.651,939,478,461,17,326,2.715,0.0,2.439,0.0
19,195978501,4,0.827,5.0,0.686,694,348,346,2,254,0.932,0.0,0.514,0.0
20,196727701,8,1.795,5.0,0.701,880,441,439,2,323,2.609,0.0,1.443,0.0
21,199485101,5,1.046,5.0,0.721,313,157,156,1,110,1.625,0.0,1.226,0.2
22,199836701,207,4.213,5.0,0.65,918,505,413,92,226,7.188,0.0,2.278,0.0
23,200512301,4,0.719,5.0,0.65,1416,708,708,0,531,0.727,0.0,0.808,0.0
24,202213001,3,1.335,5.0,0.728,1304,652,652,0,486,1.502,0.0,0.248,0.0
25,202911501,1,1.65,2.0,0.651,634,317,317,0,236,1.99,0.0,0.001,0.0
26,204654801,212,2.752,5.0,0.729,1907,1002,905,97,592,4.21,0.0,2.383,0.01
27,205014901,128,2.257,5.0,0.651,1191,629,562,67,372,3.563,0.0,2.43,0.02
28,206569901,1,4.559,5.0,1.28,510,255,255,0,193,7.876,0.0,0.584,0.0
29,207082401,224,2.956,5.0,0.651,1718,918,800,118,527,4.395,0.0,2.207,0.01
30,208812001,1,3.089,3.0,0.752,354,177,177,0,133,4.917,0.0,0.101,0.0
31,210350901,104,4.237,5.0,0.777,434,247,187,60,107,7.0,0.0,2.682,0.03
32,210919601,1,3.094,3.0,0.652,604,302,302,0,225,4.925,0.0,0.0,0.0
33,212667701,1,1.652,2.0,0.651,1572,786,786,0,593,2.0,0.0,0.0,0.0
34,212769701,1,4.537,5.0,1.656,368,184,184,0,140,7.83,0.0,0.959,0.0
35,214367601,11,2.528,5.0,0.668,329,166,163,3,119,3.946,0.02,1.555,0.0
36,217649401,4,1.364,5.0,0.778,1583,792,791,1,590,1.92,0.0,1.169,0.0
37,217764201,225,3.045,5.0,0.65,1697,904,793,111,509,4.568,0.0,2.505,0.01
38,218303001,1,0.917,2.0,0.651,1600,800,800,0,594,1.012,0.0,0.001,0.0
39,218688101,5,3.691,5.0,0.778,1320,662,658,4,482,6.655,0.0,0.862,0.0
40,219468301,1,1.63,2.0,0.651,1454,727,727,0,544,2.263,0.0,0.0,0.0
41,219511701,1,1.222,2.0,0.696,1416,708,708,0,530,1.198,0.01,0.0,0.0
42,219900501,1,1.262,2.0,0.651,1130,565,565,0,426,1.277,0.01,0.0,0.0
43,220699801,1,0.651,1.0,0.651,640,320,320,0,236,0.065,0.0,0.001,0.0
44,220961301,10,2.768,5.0,0.903,83,45,38,7,24,3.821,0.0,1.915,0.0
45,222570001,1,2.141,2.0,0.651,768,384,384,0,293,2.983,0.0,0.0,0.0
46,222993101,1,1.609,2.0,0.651,1566,783,783,0,595,1.946,0.0,0.001,0.0
47,223048501,5,1.95,5.0,0.819,675,338,337,1,249,2.84,0.0,0.781,0.0
48,223120401,1,2.201,3.0,1.154,1574,787,787,0,591,3.516,0.0,0.504,0.0
49,223856401,214,3.51,5.0,0.697,1290,688,602,86,350,5.696,0.0,2.189,0.01
50,224397101,7,1.726,5.0,0.65,939,471,468,3,352,2.437,0.0,1.763,0.0
51,226600001,7,1.55,5.0,0.651,1211,606,605,1,451,2.22,0.0,1.495,0.0
52,231526101,1,2.969,5.0,0.904,1582,791,791,0,591,5.477,0.0,0.96,0.0
53,232198601,234,2.894,5.0,0.65,1874,994,880,114,565,4.365,0.0,2.323,0.01
55,235994101,1,3.618,4.0,0.852,509,255,254,1,194,5.95,0.0,0.202,0.0
56,236937001,1,4.343,5.0,1.054,126,63,63,0,47,7.601,0.0,0.404,0.0
57,240029901,44,1.132,5.0,0.686,1617,817,800,17,591,1.778,0.0,2.421,0.0
58,240989701,169,4.013,5.0,0.651,780,432,348,84,203,6.782,0.01,2.166,0.01
59,242921301,101,4.28,5.0,0.741,428,237,191,46,104,7.395,0.0,2.72,0.02
60,245740201,52,2.921,5.0,0.65,1672,853,819,34,592,5.556,0.0,2.677,0.0
61,247273001,214,3.527,5.0,0.651,1122,618,504,114,305,5.757,0.0,2.171,0.0
62,248044901,59,3.182,5.0,0.728,1674,852,822,30,591,5.816,0.0,2.544,0.02
63,253529101,1,2.159,3.0,0.651,1596,798,798,0,596,3.701,0.0,0.0,0.0
64,256334601,1,3.569,4.0,0.651,492,246,246,0,181,5.907,0.0,0.0,0.0
65,257051801,3,1.262,5.0,0.651,1618,809,809,0,595,1.376,0.0,0.272,0.0
66,257872901,4,1.247,5.0,0.698,208,104,104,0,75,2.177,0.0,1.594,0.0
67,259827801,232,3.036,5.0,0.65,1760,933,827,106,519,4.677,0.0,2.39,0.01
68,261217901,1,1.645,2.0,0.905,176,88,88,0,66,1.941,0.0,0.253,0.0
69,262938201,1,4.467,5.0,1.28,148,74,74,0,55,7.74,0.0,0.629,0.0
70,263181301,1,4.402,5.0,0.715,308,154,154,0,115,7.692,0.0,0.064,0.0
71,266876301,6,1.744,5.0,0.683,915,459,456,3,338,2.465,0.0,2.569,0.0
72,267044101,201,3.077,5.0,0.651,1864,983,881,102,591,5.278,0.0,2.393,0.0
73,267411001,212,4.019,5.0,0.697,983,541,442,99,245,6.85,0.0,2.315,0.01
74,268164901,1,0.894,3.0,0.752,990,495,495,0,366,0.631,0.0,0.123,0.0
75,268192501,1,1.093,2.0,0.651,1582,791,791,0,595,1.276,0.0,0.001,0.0
76,269306201,200,3.719,5.0,0.653,1396,751,645,106,421,5.912,0.0,2.372,0.01
77,270552801,1,2.434,3.0,0.65,1279,640,639,1,484,3.872,0.0,0.0,0.0
78,270862901,1,4.453,5.0,0.651,504,252,252,0,191,7.748,0.0,0.0,0.0
79,271207601,33,2.476,5.0,0.651,284,151,133,18,87,3.805,0.0,2.22,0.0
80,271501201,214,2.716,5.0,0.651,1525,814,711,103,449,4.476,0.0,2.171,0.01
81,271671501,7,1.627,5.0,0.72,1076,539,537,2,404,2.323,0.0,2.092,0.0
82,273687001,1,0.78,1.0,0.651,14,7,7,0,5,0.317,0.0,0.0,0.0
83,274252701,3,1.262,5.0,0.651,1602,801,801,0,595,1.384,0.0,0.386,0.0
84,275473701,4,2.573,5.0,0.752,238,119,119,0,88,4.01,0.0,1.13,0.0
85,282893001,28,1.018,5.0,0.687,1611,815,796,19,590,1.151,0.0,2.621,0.0
86,283237601,7,2.212,5.0,0.65,443,223,220,3,158,3.342,0.0,1.823,0.14
87,284492401,7,0.763,5.0,0.686,1617,809,808,1,592,0.757,0.01,1.897,0.14
88,285373201,1,1.653,2.0,0.65,944,472,472,0,353,1.998,0.0,0.0,1.0
89,285391201,1,4.093,5.0,0.65,192,96,96,0,71,7.396,0.01,0.0,0.0
90,287074901,1,2.195,3.0,0.752,1574,787,787,0,593,3.514,0.0,0.101,0.0
91,287392801,11,1.376,5.0,0.651,1610,807,803,4,596,1.944,0.0,1.463,0.0
92,287882201,186,2.839,5.0,0.65,1698,881,817,64,524,4.605,0.0,2.27,0.01
94,291918801,3,3.405,5.0,1.055,1218,610,608,2,456,6.117,0.0,0.684,0.0
95,294077501,1,2.772,4.0,0.735,1038,519,519,0,391,4.772,0.0,0.084,0.0
96,294851801,5,0.751,5.0,0.651,1600,800,800,0,594,0.712,0.01,0.455,0.2
97,295786301,27,1.221,5.0,0.687,938,475,463,12,336,1.818,0.0,2.337,0.04
98,295832401,9,1.12,5.0,0.707,599,300,299,1,220,1.581,0.01,1.345,0.0
99,296967301,226,2.77,5.0,0.651,1920,1016,904,112,592,4.141,0.0,2.209,0.01
100,297260101,3,4.616,5.0,0.651,560,281,279,2,208,7.975,0.0,1.222,0.0
101,298719001,1,4.494,5.0,0.651,462,231,231,0,175,7.834,0.0,0.001,0.0
102,303018401,188,2.682,5.0,0.65,1867,976,891,85,591,4.102,0.0,2.319,0.01
103,303502201,81,2.213,5.0,0.805,1686,860,826,34,583,3.085,0.0,2.518,0.02
104,305705001,3,2.905,5.0,0.903,1574,788,786,2,591,5.383,0.0,0.563,0.0
105,311266501,3,1.164,5.0,0.697,1588,794,794,0,593,1.178,0.01,0.487,0.0
106,312987901,1,1.648,2.0,0.651,1586,793,793,0,595,1.996,0.0,0.0,0.0
107,313099201,7,0.909,5.0,0.729,1254,628,626,2,468,0.817,0.0,1.227,0.0
108,313599001,86,4.325,5.0,0.686,997,519,478,41,320,7.625,0.0,2.718,0.01
109,314610001,232,3.931,5.0,0.65,1150,630,520,110,295,6.439,0.0,2.272,0.01
110,316062301,3,3.481,5.0,0.697,1234,617,617,0,463,6.166,0.0,1.089,0.0
111,317049401,1,1.58,2.0,0.652,458,229,229,0,170,1.896,0.0,0.001,0.0
112,319360201,93,4.409,5.0,0.867,391,220,171,49,97,7.57,0.0,2.722,0.02
113,321259701,165,3.936,5.0,0.653,821,447,374,73,212,6.666,0.0,2.222,0.01
114,323653801,230,2.867,5.0,0.696,1958,1025,933,92,591,4.456,0.0,2.425,0.0
115,323793801,195,3.901,5.0,0.651,1038,556,482,74,271,6.516,0.0,2.417,0.01
116,324962901,205,3.293,5.0,0.651,1449,766,683,83,427,5.191,0.0,2.262,0.0
117,325995301,4,3.24,5.0,0.903,1601,802,799,3,590,6.067,0.0,0.963,0.0
118,328599801,113,3.185,5.0,0.65,1737,902,835,67,595,5.634,0.0,2.551,0.01
119,328792801,1,2.88,5.0,0.651,1594,797,797,0,596,5.343,0.0,0.001,0.0
120,331554501,1,3.073,3.0,0.65,704,352,352,0,262,4.9,0.0,0.0,0.0
121,332552101,3,4.271,5.0,0.989,1000,500,500,0,377,7.444,0.0,0.979,0.0
122,333665401,3,2.918,5.0,0.652,1568,785,783,2,591,5.402,0.0,0.782,0.0
123,334480801,164,3.671,5.0,0.651,1298,681,617,64,384,6.555,0.0,2.133,0.01
124,340860901,1,3.47,5.0,0.65,1218,609,609,0,458,6.493,0.0,0.0,0.0
125,340955901,208,3.822,5.0,0.651,1252,675,577,98,348,6.25,0.0,2.165,0.0
126,341378901,7,4.58,5.0,0.903,854,429,425,4,318,7.958,0.0,1.318,0.0
127,342463701,205,3.119,5.0,0.704,1508,806,702,104,458,4.655,0.0,2.238,0.0
128,342552501,3,1.525,5.0,0.728,602,301,301,0,223,1.895,0.0,0.34,0.0
129,344386601,170,3.913,5.0,0.651,968,528,440,88,266,6.415,0.0,2.231,0.01
130,345126301,7,4.439,5.0,0.729,328,166,162,4,122,7.853,0.0,1.247,0.0
131,345397901,225,3.427,5.0,0.65,1233,674,559,115,340,5.52,0.0,2.282,0.01
132,346006301,140,3.011,5.0,0.65,1299,684,615,69,402,4.715,0.0,2.182,0.01
133,347058701,208,2.714,5.0,0.65,1884,992,892,100,592,4.126,0.0,2.322,0.0
134,348560401,8,1.364,5.0,0.651,1616,809,807,2,596,1.923,0.0,1.531,0.12
135,348606901,29,1.861,5.0,0.752,1627,817,810,7,590,2.525,0.0,2.824,0.03
136,351329101,1,1.189,2.0,0.651,1574,787,787,0,596,1.148,0.01,0.0,0.0
137,353021501,145,4.062,5.0,0.651,672,366,306,60,161,7.125,0.0,2.296,0.01
139,356373201,1,3.227,5.0,0.651,1390,695,695,0,525,5.816,0.0,0.001,0.0
140,358732701,236,2.86,5.0,0.697,1928,1021,907,114,590,4.368,0.0,2.339,0.01
141,360465001,1,1.548,2.0,0.65,1592,796,796,0,596,2.169,0.0,0.0,0.0
142,364627301,118,2.977,5.0,0.729,1763,910,853,57,591,5.433,0.0,2.566,0.03
143,365969701,3,1.2,3.0,0.723,1584,793,791,2,592,1.154,0.01,0.3,0.33
144,368897601,39,4.303,5.0,0.763,562,293,269,24,189,7.505,0.0,2.047,0.0
145,370070501,4,1.251,5.0,0.65,1528,764,764,0,571,1.341,0.0,0.384,0.0
146,373885001,3,4.553,5.0,0.903,642,322,320,2,240,7.906,0.0,0.318,0.0
147,376055601,1,3.113,3.0,0.651,194,97,97,0,70,4.93,0.0,0.253,0.0
148,378981801,1,0.651,1.0,0.651,345,173,172,1,126,0.087,0.0,0.0,0.0
149,380010101,9,2.988,5.0,0.651,69,35,34,1,20,5.341,0.04,2.29,0.0
150,380172301,178,3.045,5.0,0.65,1812,958,854,104,590,4.763,0.0,2.299,0.02
151,385043601,1,1.208,2.0,0.672,1496,748,748,0,564,1.177,0.01,0.022,0.0
152,386517601,1,3.211,5.0,0.651,1411,706,705,1,529,5.802,0.0,0.001,0.0
154,389872601,1,0.831,3.0,0.697,1554,777,777,0,591,0.53,0.0,0.207,0.0
155,395191801,3,3.617,5.0,0.836,1314,657,657,0,493,6.529,0.0,0.163,0.0
156,395575601,201,3.409,5.0,0.651,1477,774,703,71,418,5.622,0.0,2.301,0.01
157,398396501,1,0.831,3.0,0.696,1576,788,788,0,592,0.529,0.0,0.101,0.0
159,398553001,1,2.138,4.0,0.65,1586,793,793,0,595,3.912,0.0,0.0,0.0
161,400578401,178,4.211,5.0,0.65,1096,590,506,84,309,7.41,0.0,2.354,0.01
162,401584801,8,2.353,5.0,0.651,1625,813,812,1,595,4.407,0.0,1.191,0.0
163,401846601,1,4.517,5.0,1.656,828,414,414,0,312,7.807,0.0,0.959,0.0
164,402248101,1,1.349,2.0,0.651,1578,789,789,0,595,1.575,0.01,0.0,0.0
166,406566101,1,2.966,5.0,0.796,1594,797,797,0,593,5.481,0.0,0.145,0.0
167,406603701,1,1.608,2.0,0.651,1590,795,795,0,596,1.945,0.0,0.001,0.0
168,408721401,227,3.573,5.0,0.65,1321,716,605,111,375,5.562,0.0,2.357,0.01
169,408855301,185,2.982,5.0,0.651,1450,773,677,96,441,4.387,0.0,2.301,0.01
170,409305601,1,1.436,2.0,0.651,886,443,443,0,334,1.704,0.0,0.001,0.0
171,409319701,1,2.144,4.0,0.853,1592,796,796,0,592,3.915,0.0,0.202,0.0
172,409470301,137,2.671,5.0,0.651,1787,927,860,67,590,4.014,0.0,2.296,0.01
173,410577001,1,2.197,3.0,0.752,1618,809,809,0,595,3.517,0.0,0.101,0.0
174,410979301,1,3.439,5.0,0.714,1414,707,707,0,532,6.317,0.0,0.063,0.0
175,411238201,214,2.928,5.0,0.65,1805,943,862,81,539,4.636,0.0,2.475,0.0
176,412116801,1,1.65,2.0,0.652,410,205,205,0,152,1.984,0.0,0.001,0.0
