,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,198,2.914,5.0,0.65,1157,651,506,145,337,3.939,0.03,0.002,0.99
2,178483501,4,1.434,5.0,0.65,127,65,62,3,44,1.499,0.02,0.0,1.0
3,178885001,189,2.116,5.0,0.65,1810,974,836,138,590,2.687,0.01,0.003,0.99
4,181758601,3,1.21,5.0,0.651,530,266,264,2,199,1.302,0.0,0.0,1.0
5,182232701,1,1.186,3.0,0.65,1572,786,786,0,591,1.382,0.0,0.0,1.0
7,183533601,203,3.556,5.0,0.65,886,526,360,166,242,4.805,0.03,0.004,1.0
8,184507401,9,0.998,5.0,0.651,670,337,333,4,247,1.375,0.0,0.0,1.0
9,185892901,11,0.89,5.0,0.651,982,496,486,10,364,0.395,0.0,0.0,1.0
10,186028501,143,1.716,5.0,0.651,1754,938,816,122,592,1.661,0.0,0.004,0.99
11,186821501,198,3.232,5.0,0.65,970,559,411,148,267,4.644,0.04,0.003,0.99
12,187319101,29,3.382,5.0,0.65,138,81,57,24,38,5.195,0.04,0.0,1.0
13,187426001,164,3.808,5.0,0.651,662,394,268,126,170,5.9,0.01,0.0,1.0
14,187758401,178,2.108,5.0,0.65,1835,982,853,129,594,2.711,0.01,0.003,0.94
15,187781201,198,2.494,5.0,0.651,1456,806,650,156,462,2.995,0.01,0.003,0.99
16,189660101,200,3.475,5.0,0.65,908,538,370,168,256,4.405,0.04,0.005,0.98
17,189877301,4,1.664,5.0,0.651,502,253,249,4,190,1.994,0.0,0.0,1.0
18,192487201,1,0.65,1.0,0.65,860,430,430,0,326,0.03,0.0,0.0,1.0
19,195978501,11,1.007,5.0,0.651,699,355,344,11,254,0.608,0.0,0.0,1.0
20,196727701,1,1.061,5.0,0.65,868,434,434,0,323,1.037,0.0,0.0,1.0
21,199485101,111,3.788,5.0,0.65,442,263,179,84,110,5.905,0.07,0.006,0.98
22,199836701,201,3.71,5.0,0.65,852,499,353,146,226,5.634,0.03,0.004,0.96
23,200512301,4,0.879,5.0,0.651,1415,708,707,1,531,0.831,0.0,0.0,1.0
24,202213001,200,2.401,5.0,0.65,1541,849,692,157,486,2.941,0.02,0.0,1.0
25,202911501,199,3.632,5.0,0.65,888,515,373,142,236,5.501,0.03,0.001,0.99
26,204654801,185,2.149,5.0,0.651,1805,975,830,145,592,2.442,0.0,0.003,0.99
27,205014901,58,1.48,5.0,0.651,1071,559,512,47,372,1.838,0.0,0.0,1.0
