,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,1.653,2.0,0.672,908,454,454,0,337,1.999,0.0,0.504,0.0
2,178483501,1,1.601,2.0,0.651,124,62,62,0,44,1.892,0.0,0.001,0.0
3,178885001,1,0.984,1.0,0.735,1572,786,786,0,590,0.688,0.0,0.041,0.0
4,181758601,1,1.005,1.0,0.651,528,264,264,0,199,0.731,0.0,0.0,0.0
5,182232701,1,2.26,4.0,1.029,1572,786,786,0,591,3.787,0.0,0.378,0.0
7,183533601,1,1.498,2.0,0.651,647,324,323,1,242,1.791,0.0,0.0,0.0
8,184507401,1,1.128,2.0,0.651,658,329,329,0,247,1.301,0.0,0.0,0.0
9,185892901,8,0.687,4.0,0.651,979,493,486,7,364,0.063,0.0,1.599,0.12
10,186028501,1,0.767,1.0,0.687,1592,796,796,0,592,0.23,0.0,0.0,1.0
11,186821501,1,0.87,2.0,0.651,723,362,361,1,267,0.483,0.16,0.0,1.0
12,187319101,1,2.051,2.0,0.752,106,53,53,0,38,2.835,0.0,0.0,0.0
13,187426001,1,0.779,1.0,0.651,462,231,231,0,170,0.238,0.0,0.078,0.0
14,187758401,1,1.054,2.0,0.65,1610,805,805,0,594,1.133,0.0,0.046,0.0
15,187781201,1,1.494,2.0,0.651,1218,609,609,0,462,1.765,0.0,0.0,0.0
16,189660101,1,1.451,2.0,0.651,677,339,338,1,256,1.738,0.0,0.0,0.0
17,189877301,1,0.972,2.0,0.651,499,250,249,1,190,0.759,0.0,0.001,0.0
18,192487201,1,0.918,1.0,0.651,860,430,430,0,326,0.594,0.0,0.0,0.0
19,195978501,1,0.968,2.0,0.819,689,345,344,1,254,0.662,0.0,0.101,0.0
20,196727701,1,0.844,2.0,0.651,868,434,434,0,323,0.595,0.11,0.253,0.0
21,199485101,1,1.489,2.0,0.777,306,153,153,0,110,1.891,0.0,0.482,0.0
22,199836701,1,1.652,2.0,0.651,598,299,299,0,226,1.993,0.0,0.254,0.0
23,200512301,1,0.927,1.0,0.729,1410,705,705,0,531,0.611,0.0,0.101,0.0
24,202213001,1,1.825,4.0,0.65,1300,650,650,0,486,2.467,0.0,0.441,0.0
25,202911501,1,1.433,2.0,0.65,634,317,317,0,236,1.767,0.0,0.0,0.0
26,204654801,1,0.993,2.0,0.653,1582,791,791,0,592,0.825,0.0,0.145,0.0
27,205014901,1,2.803,4.0,0.651,1004,502,502,0,372,4.66,0.0,0.0,0.0
28,206569901,1,3.638,4.0,0.795,510,255,255,0,193,5.984,0.0,0.378,0.0
29,207082401,3,0.744,2.0,0.701,1392,697,695,2,527,0.21,0.0,0.68,0.0
30,208812001,1,1.145,1.0,0.65,354,177,177,0,133,0.979,0.0,0.046,0.0
31,210350901,4,0.835,2.0,0.707,291,147,144,3,107,0.294,0.0,0.709,0.0
32,210919601,1,0.903,2.0,0.652,604,302,302,0,225,0.508,0.0,0.0,0.0
33,212667701,1,1.639,4.0,0.651,1572,786,786,0,593,2.239,0.0,0.0,0.0
34,212769701,1,4.558,5.0,0.752,368,184,184,0,140,7.89,0.0,0.001,0.0
35,214367601,1,0.804,1.0,0.65,312,156,156,0,119,0.287,0.0,0.0,0.0
36,217649401,1,1.341,3.0,0.904,1578,789,789,0,590,1.574,0.0,0.482,0.0
37,217764201,1,0.697,1.0,0.65,1360,680,680,0,509,0.094,0.0,0.0,0.0
38,218303001,1,1.082,2.0,0.651,1600,800,800,0,594,1.101,0.0,0.001,0.0
39,218688101,1,1.833,4.0,0.651,1316,658,658,0,482,2.478,0.0,0.0,0.0
40,219468301,1,1.087,2.0,0.65,1454,727,727,0,544,1.191,0.0,0.0,0.0
41,219511701,1,1.005,1.0,0.714,1416,708,708,0,530,0.719,0.0,0.145,0.0
42,219900501,1,1.102,2.0,0.714,1130,565,565,0,426,0.971,0.0,0.0,0.0
43,220699801,1,1.629,2.0,0.65,640,320,320,0,236,1.967,0.0,0.001,0.0
44,220961301,1,2.524,4.0,0.903,72,36,36,0,24,3.932,0.0,0.127,0.0
45,222570001,1,0.897,1.0,0.651,768,384,384,0,293,0.564,0.0,0.0,0.0
46,222993101,1,1.333,3.0,0.651,1566,783,783,0,595,1.561,0.0,0.0,0.0
47,223048501,3,0.722,2.0,0.65,670,336,334,2,249,0.135,0.0,0.209,0.0
48,223120401,5,0.865,2.0,0.65,1578,791,787,4,591,0.462,0.0,0.47,0.0
49,223856401,1,0.697,1.0,0.673,950,475,475,0,350,0.087,0.1,0.0,1.0
50,224397101,1,0.708,1.0,0.668,930,465,465,0,352,0.111,0.0,0.0,0.0
51,226600001,1,0.705,1.0,0.65,1200,600,600,0,451,0.105,0.0,0.0,0.0
52,231526101,1,1.058,2.0,0.697,1582,791,791,0,591,1.146,0.0,0.36,0.0
53,232198601,1,0.827,1.0,0.696,1522,761,761,0,565,0.46,0.0,0.147,0.0
55,235994101,1,1.523,2.0,0.751,509,255,254,1,194,1.917,0.0,0.101,0.0
56,236937001,1,0.701,1.0,0.652,126,63,63,0,47,0.045,0.0,0.001,0.0
57,240029901,1,1.344,3.0,0.903,1548,774,774,0,591,1.585,0.0,0.101,0.0
58,240989701,1,1.059,2.0,0.651,528,264,264,0,203,0.998,0.0,0.001,0.0
59,242921301,1,1.856,2.0,1.011,274,137,137,0,104,2.457,0.0,0.36,0.0
60,245740201,1,1.316,2.0,0.65,1604,802,802,0,592,1.564,0.0,0.101,0.0
61,247273001,1,1.36,2.0,1.055,809,405,404,1,305,1.495,0.0,0.253,0.0
62,248044901,1,1.089,2.0,0.714,1588,794,794,0,591,1.108,0.0,0.608,0.0
63,253529101,1,0.859,1.0,0.65,1596,798,798,0,596,0.458,0.0,0.001,0.0
64,256334601,1,1.813,3.0,0.651,492,246,246,0,181,2.413,0.0,0.0,0.0
65,257051801,1,0.817,1.0,0.651,1614,807,807,0,595,0.444,0.0,0.0,0.0
66,257872901,3,1.129,2.0,0.698,204,103,101,2,75,0.915,0.0,0.583,0.0
67,259827801,1,1.766,4.0,0.673,1404,702,702,0,519,2.399,0.0,0.441,0.0
68,261217901,1,2.132,3.0,0.652,176,88,88,0,66,3.035,0.0,0.046,0.0
69,262938201,4,2.127,3.0,0.697,151,77,74,3,55,2.955,0.0,0.742,0.0
70,263181301,1,1.634,2.0,0.651,308,154,154,0,115,1.986,0.0,0.001,0.0
71,266876301,1,1.178,2.0,0.651,908,454,454,0,338,1.075,0.0,0.0,0.0
72,267044101,4,1.922,5.0,0.795,1569,786,783,3,591,4.025,0.0,1.143,0.0
73,267411001,1,1.049,1.0,0.729,660,330,330,0,245,0.818,0.0,0.101,0.0
74,268164901,1,2.586,5.0,0.651,990,495,495,0,366,5.085,0.0,0.001,0.0
75,268192501,4,0.907,1.0,0.65,1585,794,791,3,595,0.581,0.0,0.136,0.0
76,269306201,1,2.378,5.0,0.651,1104,552,552,0,421,4.774,0.0,0.001,0.0
77,270552801,1,1.459,2.0,0.65,1279,640,639,1,484,1.724,0.0,0.0,0.0
78,270862901,1,1.641,2.0,0.651,504,252,252,0,191,1.98,0.0,0.0,0.0
79,271207601,1,0.677,1.0,0.651,238,119,119,0,87,0.03,0.42,0.001,0.0
80,271501201,1,0.731,1.0,0.687,1202,601,601,0,449,0.168,0.0,0.036,0.0
81,271671501,6,1.942,3.0,0.903,1071,538,533,5,404,2.643,0.0,0.947,0.0
82,273687001,1,0.651,1.0,0.651,14,7,7,0,5,0.001,0.0,0.001,0.0
83,274252701,1,1.635,4.0,0.651,1598,799,799,0,595,2.237,0.0,0.0,0.0
84,275473701,1,1.943,2.0,0.752,232,116,116,0,88,2.616,0.0,0.169,0.0
85,282893001,1,0.767,1.0,0.729,1576,788,788,0,590,0.231,0.0,0.056,0.0
86,283237601,1,1.125,1.0,0.65,434,217,217,0,158,0.945,0.0,0.0,0.0
87,284492401,1,0.732,1.0,0.666,1606,803,803,0,592,0.176,0.0,0.0,0.0
88,285373201,1,2.033,4.0,0.834,944,472,472,0,353,2.789,0.0,0.127,0.0
89,285391201,1,0.733,1.0,0.65,192,96,96,0,71,0.13,0.0,0.0,0.0
90,287074901,1,0.981,1.0,0.651,1574,787,787,0,593,0.683,0.0,0.0,0.0
91,287392801,1,0.907,1.0,0.651,1594,797,797,0,596,0.577,0.0,0.0,0.0
92,287882201,1,0.719,1.0,0.65,1392,696,696,0,524,0.157,0.0,0.0,0.0
94,291918801,1,0.779,2.0,0.651,1216,608,608,0,456,0.248,0.0,0.0,0.0
95,294077501,1,0.929,1.0,0.652,1038,519,519,0,391,0.554,0.0,0.079,0.0
96,294851801,1,0.692,1.0,0.65,1592,796,796,0,594,0.091,0.0,0.026,0.0
97,295786301,3,1.597,3.0,0.653,900,451,449,2,336,2.012,0.0,0.583,0.0
98,295832401,1,1.478,2.0,0.651,584,292,292,0,220,1.698,0.0,0.064,0.0
99,296967301,1,0.689,1.0,0.65,1582,791,791,0,592,0.087,0.0,0.018,0.0
100,297260101,3,3.736,5.0,0.672,560,281,279,2,208,6.726,0.0,0.677,0.0
101,298719001,1,0.993,1.0,0.65,462,231,231,0,175,0.711,0.0,0.0,0.0
102,303018401,1,2.263,4.0,0.652,1578,789,789,0,591,3.795,0.0,0.202,0.0
103,303502201,1,0.733,2.0,0.684,1560,780,780,0,583,0.176,0.0,0.048,0.0
104,305705001,9,0.785,4.0,0.65,1580,794,786,8,591,0.435,0.28,1.155,0.0
105,311266501,1,0.682,1.0,0.65,1584,792,792,0,593,0.069,0.29,0.0,1.0
106,312987901,1,0.982,1.0,0.651,1586,793,793,0,595,0.686,0.0,0.0,0.0
107,313099201,1,1.862,4.0,1.226,1244,622,622,0,468,2.524,0.0,0.337,0.0
108,313599001,1,0.913,2.0,0.651,868,434,434,0,320,0.799,0.0,0.253,0.0
109,314610001,1,1.66,3.0,0.988,798,399,399,0,295,2.108,0.0,0.338,0.0
110,316062301,1,1.183,2.0,0.795,1230,615,615,0,463,1.234,0.0,0.145,0.0
111,317049401,1,0.794,1.0,0.651,458,229,229,0,170,0.272,0.0,0.0,0.0
112,319360201,1,1.121,2.0,0.904,256,128,128,0,97,0.907,0.0,0.079,0.0
113,321259701,3,3.663,5.0,0.652,568,285,283,2,212,6.647,0.0,0.106,0.0
114,323653801,1,0.71,2.0,0.688,1592,796,796,0,591,0.118,0.0,0.002,0.0
115,323793801,1,0.733,1.0,0.731,724,362,362,0,271,0.152,0.0,0.08,0.0
116,324962901,1,0.92,1.0,0.778,1124,562,562,0,427,0.538,0.0,0.079,0.0
117,325995301,1,0.911,1.0,0.735,1598,799,799,0,590,0.584,0.0,0.253,0.0
118,328599801,1,2.261,4.0,0.65,1580,790,790,0,595,3.793,0.0,0.0,0.0
119,328792801,1,2.246,4.0,0.65,1594,797,797,0,596,3.771,0.0,0.0,0.0
120,331554501,1,0.76,1.0,0.65,704,352,352,0,262,0.212,0.0,0.0,0.0
121,332552101,1,1.278,2.0,0.651,996,498,498,0,377,1.378,0.0,0.064,0.0
