,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,1,0.676,1.0,0.65,918,459,459,0,337,0.023,0.56,0.0,0.0
2,178483501,1,1.637,2.0,0.903,136,68,68,0,44,1.899,0.0,0.253,0.0
3,178885001,1,0.93,1.0,0.819,1586,793,793,0,590,0.595,0.0,0.235,0.0
4,181758601,1,1.624,2.0,0.651,540,270,270,0,199,1.909,0.0,0.001,0.0
5,182232701,1,0.993,1.0,0.777,1582,791,791,0,591,0.684,0.0,0.127,0.0
7,183533601,1,1.651,2.0,0.652,661,331,330,1,242,1.959,0.0,0.001,0.0
8,184507401,1,1.085,1.0,0.651,670,335,335,0,247,0.826,0.0,0.0,1.0
10,186028501,1,0.861,1.0,0.714,1602,801,801,0,592,0.445,0.0,0.145,0.0
11,186821501,1,1.156,1.0,0.796,733,367,366,1,267,1.02,0.0,0.253,0.0
12,187319101,1,0.702,1.0,0.65,118,59,59,0,38,0.007,0.9,0.0,0.0
13,187426001,1,1.279,1.0,0.905,472,236,236,0,170,1.191,0.0,0.253,0.0
14,187758401,1,1.43,2.0,0.903,1622,811,811,0,594,1.615,0.0,0.253,0.0
15,187781201,1,0.711,1.0,0.651,1230,615,615,0,462,0.098,0.0,0.0,0.0
16,189660101,1,0.958,1.0,0.697,689,345,344,1,256,0.584,0.0,0.046,0.0
17,189877301,1,1.631,2.0,0.651,513,257,256,1,190,1.922,0.0,0.001,0.0
18,192487201,1,0.85,1.0,0.652,874,437,437,0,326,0.374,0.0,0.001,0.0
19,195978501,1,0.789,1.0,0.777,699,350,349,1,254,0.232,0.0,0.127,0.0
20,196727701,1,1.331,2.0,0.65,878,439,439,0,323,1.398,0.0,0.0,0.0
21,199485101,1,1.651,2.0,1.155,314,157,157,0,110,1.922,0.0,0.468,0.0
23,200512301,389,1.656,2.0,0.904,5744,3066,2678,388,531,2.01,0.0,0.986,0.0
24,202213001,1,0.83,1.0,0.819,1308,654,654,0,486,0.337,0.0,0.169,0.0
25,202911501,1,1.647,2.0,0.65,648,324,324,0,236,1.953,0.0,0.0,0.0
26,204654801,1,0.993,1.0,0.729,1592,796,796,0,592,0.683,0.0,0.078,0.0
27,205014901,1,1.082,1.0,0.652,1018,509,509,0,372,0.872,0.0,0.002,0.0
28,206569901,1,1.182,1.0,0.989,524,262,262,0,193,1.03,0.0,0.338,0.0
29,207082401,1,0.999,1.0,0.731,1404,702,702,0,527,0.745,0.0,0.338,0.0
30,208812001,1,0.827,1.0,0.65,366,183,183,0,133,0.284,0.0,0.0,0.0
31,210350901,1,0.693,1.0,0.668,298,149,149,0,107,0.0,1.0,0.018,0.0
32,210919601,1,1.49,2.0,0.652,618,309,309,0,225,1.883,0.0,0.0,0.0
33,212667701,1,1.162,2.0,0.819,1584,792,792,0,593,1.211,0.0,0.169,0.0
34,212769701,1,1.079,1.0,0.903,382,191,191,0,140,0.795,0.0,0.253,0.0
35,214367601,1,0.979,1.0,0.687,326,163,163,0,119,0.581,0.0,0.036,0.0
36,217649401,1,1.434,2.0,1.154,1586,793,793,0,590,1.62,0.0,0.458,0.0
37,217764201,1,0.895,1.0,0.714,1372,686,686,0,509,0.47,0.0,0.064,0.0
38,218303001,563,0.65,1.0,0.65,6736,3649,3087,562,594,0.0,0.0,0.024,0.0
39,218688101,1,0.756,1.0,0.65,1328,664,664,0,482,0.196,0.0,0.0,0.0
40,219468301,1,1.641,2.0,0.651,1466,733,733,0,544,1.972,0.0,0.001,0.0
41,219511701,1,0.706,1.0,0.65,1426,713,713,0,530,0.098,0.0,0.0,1.0
42,219900501,1,0.715,1.0,0.651,1142,571,571,0,426,0.106,0.01,0.0,0.0
