,client_id,reconnections,lat_mean,lat_max,lat_min,total_msgs,out_msgs,in_msgs,lost_msgs,active_time,rtt_rmse,opt_rate,discovery_rmse,discovery_rate
0,177830201,3,1.162,4.0,0.836,910,456,454,2,337,1.173,0.0,0.622,0.0
2,178483501,1,1.614,2.0,0.651,124,62,62,0,44,1.963,0.0,0.001,0.0
3,178885001,126,1.861,5.0,0.728,1775,911,864,47,590,3.153,0.0,1.776,0.0
4,181758601,126,3.405,5.0,0.651,720,389,331,58,199,5.661,0.0,1.829,0.0
5,182232701,125,2.169,5.0,0.723,1775,910,865,45,591,3.527,0.0,1.679,0.0
7,183533601,1,2.564,3.0,0.651,647,324,323,1,242,4.121,0.0,0.0,0.0
8,184507401,70,2.607,5.0,0.651,769,398,371,27,247,4.081,0.0,1.594,0.0
9,185892901,3,1.583,5.0,0.707,976,488,488,0,364,2.085,0.0,0.677,0.33
10,186028501,90,1.59,5.0,0.729,1728,885,843,42,592,2.448,0.0,1.837,0.0
11,186821501,83,2.703,5.0,0.752,850,444,406,38,267,4.082,0.0,1.976,0.0
12,187319101,28,3.641,5.0,0.752,150,80,70,10,38,6.324,0.0,2.081,0.0
13,187426001,111,3.278,5.0,0.651,637,341,296,45,170,5.624,0.0,1.64,0.0
14,187758401,1,1.142,2.0,0.651,1610,805,805,0,594,1.158,0.0,0.001,0.0
15,187781201,1,3.227,5.0,0.651,1218,609,609,0,462,6.055,0.0,0.0,0.0
16,189660101,1,1.155,1.0,0.65,677,339,338,1,256,1.014,0.0,0.0,0.0
17,189877301,82,2.844,5.0,0.65,622,331,291,40,190,4.504,0.0,1.882,0.01
18,192487201,3,1.658,5.0,0.687,864,432,432,0,326,2.197,0.0,0.632,0.0
19,195978501,3,4.603,5.0,1.054,691,347,344,3,254,7.961,0.0,0.805,0.0
20,196727701,4,1.668,5.0,0.651,874,437,437,0,323,2.242,0.0,0.627,0.0
21,199485101,1,0.96,1.0,0.651,306,153,153,0,110,0.629,0.0,0.025,0.0
22,199836701,1,1.521,2.0,0.651,598,299,299,0,226,1.836,0.0,0.001,0.0
23,200512301,80,1.607,5.0,0.687,1523,784,739,45,531,2.3,0.0,1.805,0.0
24,202213001,1,2.562,4.0,0.853,1300,650,650,0,486,4.382,0.0,0.202,0.0
25,202911501,1,3.563,4.0,0.65,634,317,317,0,236,5.913,0.0,0.0,0.0
